Frecuencia (Hz),PSD
-10000000.000000,-79.182650713674946
-9995117.187500,-79.217017698251510
-9990234.375000,-79.218688995427172
-9985351.562500,-79.168940898603367
-9980468.750000,-79.157733607097455
-9975585.937500,-79.259089740996004
-9970703.125000,-79.130318307042188
-9965820.312500,-79.135090473018579
-9960937.500000,-79.236441529608086
-9956054.687500,-79.239784475704582
-9951171.875000,-79.246618978922058
-9946289.062500,-79.247513670790553
-9941406.250000,-79.159903284744487
-9936523.437500,-79.135961008148243
-9931640.625000,-79.186690408300024
-9926757.812500,-79.163311587920759
-9921875.000000,-79.168521807410130
-9916992.187500,-79.193022002617695
-9912109.375000,-79.159797135627926
-9907226.562500,-79.168186401243702
-9902343.750000,-79.187391033072544
-9897460.937500,-79.133726940110733
-9892578.125000,-79.191175218974877
-9887695.312500,-79.176435756708116
-9882812.500000,-79.225222465099534
-9877929.687500,-79.201818810601310
-9873046.875000,-79.142540413384737
-9868164.062500,-79.151534807008076
-9863281.250000,-79.165198588417624
-9858398.437500,-79.175026264197456
-9853515.625000,-79.171158675925284
-9848632.812500,-79.241462225592585
-9843750.000000,-79.232669155199119
-9838867.187500,-79.170350292374380
-9833984.375000,-79.180436574510239
-9829101.562500,-79.189478085937296
-9824218.750000,-79.237914809173404
-9819335.937500,-79.227170727408676
-9814453.125000,-79.158368568795595
-9809570.312500,-79.144627957798505
-9804687.500000,-79.182798912149281
-9799804.687500,-79.247360531913372
-9794921.875000,-79.178619979735942
-9790039.062500,-79.165451024260761
-9785156.250000,-79.167128328960928
-9780273.437500,-79.248739162050839
-9775390.625000,-79.162727090213394
-9770507.812500,-79.166066438453427
-9765625.000000,-79.125521716796513
-9760742.187500,-79.142396366697142
-9755859.375000,-79.186216648505564
-9750976.562500,-79.225379431063985
-9746093.750000,-79.251558872743772
-9741210.937500,-79.183516248864237
-9736328.125000,-79.203211817244352
-9731445.312500,-79.206327685362766
-9726562.500000,-79.186600658324963
-9721679.687500,-79.209515155956240
-9716796.875000,-79.335685463043802
-9711914.062500,-79.330628891128811
-9707031.250000,-79.240231076997006
-9702148.437500,-79.204026744558576
-9697265.625000,-79.148099791772054
-9692382.812500,-79.113985435507800
-9687500.000000,-79.173388476035939
-9682617.187500,-79.222216779991896
-9677734.375000,-79.246005252890356
-9672851.562500,-79.149223258269359
-9667968.750000,-79.205031752127283
-9663085.937500,-79.202751329392086
-9658203.125000,-79.215032693925693
-9653320.312500,-79.222439449265906
-9648437.500000,-79.191295330567158
-9643554.687500,-79.235508817297074
-9638671.875000,-79.245759478656524
-9633789.062500,-79.307194688044291
-9628906.250000,-79.313916319173401
-9624023.437500,-79.222786702493522
-9619140.625000,-79.171148573813596
-9614257.812500,-79.197990380979903
-9609375.000000,-79.209332774225444
-9604492.187500,-79.185718443011808
-9599609.375000,-79.178281349333460
-9594726.562500,-79.206052376256977
-9589843.750000,-79.137202329562427
-9584960.937500,-79.119648435369982
-9580078.125000,-79.267349420827529
-9575195.312500,-79.285279302966657
-9570312.500000,-79.280519963163968
-9565429.687500,-79.236844103806916
-9560546.875000,-79.181261116344857
-9555664.062500,-79.246758930366298
-9550781.250000,-79.200012907035912
-9545898.437500,-79.127833795218436
-9541015.625000,-79.252142672453459
-9536132.812500,-79.242601670512201
-9531250.000000,-79.163769866753015
-9526367.187500,-79.173346310544076
-9521484.375000,-79.123968926139256
-9516601.562500,-79.152819329848100
-9511718.750000,-79.262809857447223
-9506835.937500,-79.263395594029774
-9501953.125000,-79.256146751919189
-9497070.312500,-79.194840979705873
-9492187.500000,-79.123769001622563
-9487304.687500,-79.101171012433511
-9482421.875000,-79.173093333076011
-9477539.062500,-79.275004984079743
-9472656.250000,-79.173050113487662
-9467773.437500,-79.193465904678078
-9462890.625000,-79.205245030548667
-9458007.812500,-79.189125314219538
-9453125.000000,-79.189853697702119
-9448242.187500,-79.202192267369909
-9443359.375000,-79.223215182551982
-9438476.562500,-79.245021146939592
-9433593.750000,-79.248151905352941
-9428710.937500,-79.218727240769894
-9423828.125000,-79.226610974947931
-9418945.312500,-79.160657227902988
-9414062.500000,-79.199051907627265
-9409179.687500,-79.240967866471678
-9404296.875000,-79.266107816202805
-9399414.062500,-79.226689596322046
-9394531.250000,-79.145994137495492
-9389648.437500,-79.123703634442947
-9384765.625000,-79.132519049967925
-9379882.812500,-79.165106212881213
-9375000.000000,-79.155372816500204
-9370117.187500,-79.118395945410086
-9365234.375000,-79.201200685029079
-9360351.562500,-79.173063419823521
-9355468.750000,-79.170599340939006
-9350585.937500,-79.177077508901704
-9345703.125000,-79.222970410249900
-9340820.312500,-79.200638763972492
-9335937.500000,-79.202078525689600
-9331054.687500,-79.172663068884646
-9326171.875000,-79.089598106972716
-9321289.062500,-79.224223894019474
-9316406.250000,-79.211306604413892
-9311523.437500,-79.145843713117529
-9306640.625000,-79.185418242936137
-9301757.812500,-79.168451635431140
-9296875.000000,-79.112248622136917
-9291992.187500,-79.112006743399661
-9287109.375000,-79.157857508951665
-9282226.562500,-79.168951833192892
-9277343.750000,-79.109299002626756
-9272460.937500,-79.124308814963783
-9267578.125000,-79.114064595308207
-9262695.312500,-79.189265405551708
-9257812.500000,-79.257815156185970
-9252929.687500,-79.220664758255822
-9248046.875000,-79.191580643018099
-9243164.062500,-79.189799275866363
-9238281.250000,-79.227066840402273
-9233398.437500,-79.188824487616102
-9228515.625000,-79.244638264848376
-9223632.812500,-79.224517272060950
-9218750.000000,-79.168130066723691
-9213867.187500,-79.108569141480118
-9208984.375000,-79.124883854287674
-9204101.562500,-79.147559209153087
-9199218.750000,-79.151647520492347
-9194335.937500,-79.170049495952128
-9189453.125000,-79.191148599987869
-9184570.312500,-79.163187146695819
-9179687.500000,-79.180675982985747
-9174804.687500,-79.177975500968316
-9169921.875000,-79.161538034287545
-9165039.062500,-79.121233816444175
-9160156.250000,-79.129646372360426
-9155273.437500,-79.137690800898156
-9150390.625000,-79.215340493335930
-9145507.812500,-79.247570027423137
-9140625.000000,-79.219777148059535
-9135742.187500,-79.214269224159324
-9130859.375000,-79.180387519666752
-9125976.562500,-79.191857223246899
-9121093.750000,-79.119908967186745
-9116210.937500,-79.175437993796450
-9111328.125000,-79.235932450772395
-9106445.312500,-79.235153916713088
-9101562.500000,-79.211542649388363
-9096679.687500,-79.183211868482758
-9091796.875000,-79.171969423785470
-9086914.062500,-79.188265984900298
-9082031.250000,-79.255383415679887
-9077148.437500,-79.282514950411283
-9072265.625000,-79.287167588627852
-9067382.812500,-79.263638070437111
-9062500.000000,-79.200737793875675
-9057617.187500,-79.143373463440810
-9052734.375000,-79.219760273986239
-9047851.562500,-79.165464056855427
-9042968.750000,-79.226015104458810
-9038085.937500,-79.217673905076836
-9033203.125000,-79.140739851001399
-9028320.312500,-79.128710439905831
-9023437.500000,-79.168141996963556
-9018554.687500,-79.167581873684924
-9013671.875000,-79.124434613083224
-9008789.062500,-79.255539465066363
-9003906.250000,-79.085818742760353
-8999023.437500,-79.099868762971752
