Frecuencia (Hz),PSD
-8354492.187500,-78.951848985748455
-8349609.375000,-79.010364931894927
-8344726.562500,-79.014907914400240
-8339843.750000,-79.004764844702407
-8334960.937500,-78.927140378103218
-8330078.125000,-78.838534452979744
-8325195.312500,-78.822344948729281
-8320312.500000,-78.668377192513134
-8315429.687500,-78.528929500767276
-8310546.875000,-78.376433765491157
-8305664.062500,-78.296244688546878
-8300781.250000,-78.282878418819195
-8295898.437500,-78.301854302801601
-8291015.625000,-78.423622188040270
-8286132.812500,-78.515352244920052
-8281250.000000,-78.637440481506090
-8276367.187500,-78.777210597111647
-8271484.375000,-78.850516244133644
-8266601.562500,-78.889307248377889
-8261718.750000,-78.936514618381366
-8256835.937500,-78.908023455216608
-8251953.125000,-78.984114780431895
-8247070.312500,-78.950631676727497
-8242187.500000,-78.987201814241686
-8237304.687500,-79.031827025446660
-8232421.875000,-78.942257026263889
-8227539.062500,-78.995764569357874
-8222656.250000,-79.014874226327080
-8217773.437500,-78.928146853799362
-8212890.625000,-78.932484060902596
-8208007.812500,-78.940884069348613
-8203125.000000,-78.960124590845851
-8198242.187500,-78.947712491406023
-8193359.375000,-79.000634072110458
-8188476.562500,-79.086670424436079
-8183593.750000,-79.095343297511903
-8178710.937500,-79.047280461471459
-8173828.125000,-79.044041721986758
-8168945.312500,-79.035307012764250
-8164062.500000,-79.082372059534123
-8159179.687500,-79.097152160887859
-8154296.875000,-79.075422703065058
-8149414.062500,-79.071016941091600
-8144531.250000,-79.067361806938138
-8139648.437500,-79.048313337875584
-8134765.625000,-79.043248158854681
-8129882.812500,-79.052230253626078
-8125000.000000,-79.107162104645866
-8120117.187500,-79.083271585401761
-8115234.375000,-78.972525566161153
-8110351.562500,-78.979922919477033
-8105468.750000,-78.967702018349044
-8100585.937500,-79.044509229508805
-8095703.125000,-79.132572682882738
-8090820.312500,-79.134729942211692
-8085937.500000,-79.095358672155783
-8081054.687500,-79.124047818595812
-8076171.875000,-79.062856524230213
-8071289.062500,-79.056228184322705
-8066406.250000,-79.060894569364550
-8061523.437500,-78.993080085433945
-8056640.625000,-78.979488408122364
-8051757.812500,-78.999958848812923
-8046875.000000,-79.014590271497596
-8041992.187500,-79.112449192236753
-8037109.375000,-79.046822358286931
-8032226.562500,-78.979924199293706
-8027343.750000,-79.033389245261247
-8022460.937500,-79.095784104867519
-8017578.125000,-79.094978091632512
-8012695.312500,-78.981266696473654
-8007812.500000,-78.985291820843585
-8002929.687500,-78.857064119297263
-7998046.875000,-78.861987188001592
-7993164.062500,-79.096989656823538
-7988281.250000,-79.068409717667492
-7983398.437500,-79.012168593119384
-7978515.625000,-78.962110225442487
-7973632.812500,-78.986237029383076
-7968750.000000,-79.036025774470190
-7963867.187500,-79.028246027049406
-7958984.375000,-79.026286605184310
-7954101.562500,-79.071002982637225
-7949218.750000,-79.033831715493349
-7944335.937500,-79.039106499237207
-7939453.125000,-79.065084086704886
-7934570.312500,-79.073982735819357
-7929687.500000,-78.997715526039826
-7924804.687500,-79.035819984223792
-7919921.875000,-79.041267743284493
-7915039.062500,-79.044911887767682
-7910156.250000,-79.007295013367951
-7905273.437500,-79.083036694984855
-7900390.625000,-79.058874395822102
-7895507.812500,-79.109367718159973
-7890625.000000,-79.026910257627890
-7885742.187500,-79.017420645373221
-7880859.375000,-79.002162635788949
-7875976.562500,-79.013746396686173
-7871093.750000,-79.053375317860116
-7866210.937500,-79.043642445527183
-7861328.125000,-78.996134898956441
-7856445.312500,-78.965034926645217
-7851562.500000,-78.941099315748573
-7846679.687500,-79.013922470621594
-7841796.875000,-79.050904016461473
-7836914.062500,-79.066063353298603
-7832031.250000,-79.052827911887519
-7827148.437500,-79.050623977288041
-7822265.625000,-79.103332041055509
-7817382.812500,-79.030059064591299
-7812500.000000,-78.972749601624017
-7807617.187500,-79.021680153887118
-7802734.375000,-79.024153224954091
-7797851.562500,-79.026217728848948
-7792968.750000,-79.015905019141883
-7788085.937500,-79.003673221875047
-7783203.125000,-78.930155508079324
-7778320.312500,-78.938068821201043
-7773437.500000,-79.031721021676972
-7768554.687500,-79.006487385540424
-7763671.875000,-78.971314245737275
-7758789.062500,-78.962296649407023
-7753906.250000,-78.997725210882294
-7749023.437500,-78.978617952487269
-7744140.625000,-78.906230409885836
-7739257.812500,-78.989660971098203
-7734375.000000,-78.923900762301471
-7729492.187500,-78.967393197977430
-7724609.375000,-78.961889922600207
-7719726.562500,-78.906904295713758
-7714843.750000,-78.995136802978976
-7709960.937500,-78.950347867434658
-7705078.125000,-78.823768292525187
-7700195.312500,-78.850812976530165
-7695312.500000,-78.954429992024501
-7690429.687500,-79.028508663643976
-7685546.875000,-78.957749368147404
-7680664.062500,-78.923902594047661
-7675781.250000,-78.907005870571084
-7670898.437500,-78.925300175645262
-7666015.625000,-78.968167889626059
