Frecuencia (Hz),PSD
-9677734.375000,-79.061604119539879
-9672851.562500,-79.126653993871372
-9667968.750000,-79.161525517805927
-9663085.937500,-79.083117666544595
-9658203.125000,-79.056448487978614
-9653320.312500,-79.156395046421409
-9648437.500000,-79.155387456114767
-9643554.687500,-79.101134706003762
-9638671.875000,-79.099616341954885
-9633789.062500,-79.079241096478341
-9628906.250000,-79.039265555311829
-9624023.437500,-79.074471980677643
-9619140.625000,-79.221252293092192
-9614257.812500,-79.110842314799157
-9609375.000000,-79.070615116926007
-9604492.187500,-79.105834486225305
-9599609.375000,-79.157571707459851
-9594726.562500,-79.136488090759613
-9589843.750000,-79.210320411768222
-9584960.937500,-79.156880293343292
-9580078.125000,-79.141143865457067
-9575195.312500,-79.119983342984625
-9570312.500000,-79.134420093531588
-9565429.687500,-79.109794305624277
-9560546.875000,-79.127476822990857
-9555664.062500,-79.061142972804944
-9550781.250000,-79.031457653000928
-9545898.437500,-78.928433763260472
-9541015.625000,-78.808999595101724
-9536132.812500,-78.920146414605568
-9531250.000000,-79.016839864516569
-9526367.187500,-79.150530576067126
-9521484.375000,-79.138687868624430
-9516601.562500,-79.179968205886496
-9511718.750000,-79.154053340679809
-9506835.937500,-79.128982658131775
-9501953.125000,-78.840726016388416
-9497070.312500,-78.665098532905759
-9492187.500000,-79.127006999519679
-9487304.687500,-79.175041512529134
-9482421.875000,-79.106193542355996
-9477539.062500,-79.103506872151897
-9472656.250000,-79.117142981216446
-9467773.437500,-79.122185880137380
-9462890.625000,-79.062069641554501
-9458007.812500,-79.102038164229299
-9453125.000000,-79.084441066348347
-9448242.187500,-79.091188208425933
-9443359.375000,-79.059216809915796
-9438476.562500,-79.084688819206391
-9433593.750000,-79.123324628320788
-9428710.937500,-79.060108376255599
-9423828.125000,-79.048113963565910
-9418945.312500,-79.096312134912367
-9414062.500000,-79.040535136823735
-9409179.687500,-79.013502804875387
-9404296.875000,-79.016484253868924
-9399414.062500,-79.053062244115637
-9394531.250000,-78.974864357049725
-9389648.437500,-78.972842355851199
-9384765.625000,-79.046772215452421
-9379882.812500,-79.040357006963802
-9375000.000000,-79.085579874821676
-9370117.187500,-79.027001485965769
-9365234.375000,-79.053238221705953
-9360351.562500,-79.084631633360758
-9355468.750000,-79.049247564107120
-9350585.937500,-79.090661034845454
-9345703.125000,-79.043160969396169
-9340820.312500,-79.137546722155349
-9335937.500000,-79.109318900715337
-9331054.687500,-79.188162206989276
-9326171.875000,-79.191224419789435
-9321289.062500,-79.105936167400102
-9316406.250000,-79.161254677528760
-9311523.437500,-79.150406860968573
-9306640.625000,-79.160058899623550
-9301757.812500,-79.153545465897409
-9296875.000000,-79.127295411942683
-9291992.187500,-79.125672499350500
-9287109.375000,-79.083943114724150
-9282226.562500,-79.078365087396435
-9277343.750000,-79.097774802513044
-9272460.937500,-79.099058801653811
-9267578.125000,-79.134794829825537
-9262695.312500,-79.265015393994958
-9257812.500000,-79.262772529505042
-9252929.687500,-79.154814975043209
-9248046.875000,-79.146433691381105
-9243164.062500,-79.121031737961317
-9238281.250000,-79.159340664362659
-9233398.437500,-79.131344525674692
-9228515.625000,-79.142259864803805
-9223632.812500,-79.099833213218091
-9218750.000000,-79.177320486161719
-9213867.187500,-79.236333035483057
-9208984.375000,-79.204932009799791
-9204101.562500,-79.189124813714869
-9199218.750000,-79.224517739488334
-9194335.937500,-79.232359757382568
-9189453.125000,-79.152980163825617
-9184570.312500,-79.142463552348374
-9179687.500000,-79.166131509121044
-9174804.687500,-79.168171198077445
-9169921.875000,-79.134158357757684
-9165039.062500,-79.185607033977391
-9160156.250000,-79.166252524706920
-9155273.437500,-79.108859590897680
-9150390.625000,-79.109360214814984
-9145507.812500,-79.143860417914638
-9140625.000000,-79.195904448706415
-9135742.187500,-79.173804217252723
-9130859.375000,-79.124595386712130
-9125976.562500,-79.113531047390410
-9121093.750000,-79.108287553855575
-9116210.937500,-79.150834089578851
-9111328.125000,-79.121708334961170
-9106445.312500,-79.121740463633870
-9101562.500000,-79.184296237170287
-9096679.687500,-79.167706336004386
-9091796.875000,-79.121340691912323
-9086914.062500,-79.115646583472966
-9082031.250000,-79.092744547639086
-9077148.437500,-79.143015417552661
-9072265.625000,-79.141012919604250
-9067382.812500,-79.203084919223585
-9062500.000000,-79.126885819161444
-9057617.187500,-79.161976862258712
-9052734.375000,-79.173729233421838
-9047851.562500,-79.107412307397041
-9042968.750000,-79.162440143586352
-9038085.937500,-79.133936062184375
-9033203.125000,-79.116560135784908
-9028320.312500,-79.151787996032809
-9023437.500000,-79.095389364918987
-9018554.687500,-79.090645917166967
-9013671.875000,-79.101530540897031
-9008789.062500,-79.200347859264454
-9003906.250000,-79.164812191319072
-8999023.437500,-79.055154498804967
-8994140.625000,-79.116395424253639
-8989257.812500,-79.249618599314672
-8984375.000000,-79.254071008513904
-8979492.187500,-79.156267785795890
-8974609.375000,-79.119980208745218
-8969726.562500,-79.148814933320978
-8964843.750000,-79.141571000219827
-8959960.937500,-79.062307634570544
-8955078.125000,-79.103180300364755
-8950195.312500,-79.076562427885605
-8945312.500000,-79.092161741058632
-8940429.687500,-79.147803790373985
-8935546.875000,-79.134326338092478
-8930664.062500,-79.134142277150531
-8925781.250000,-79.134602445694810
-8920898.437500,-79.123974415559800
-8916015.625000,-79.132754295172603
-8911132.812500,-79.209286749290413
-8906250.000000,-79.149299321311446
-8901367.187500,-79.108079694017420
-8896484.375000,-79.087125189318130
-8891601.562500,-79.129082993883472
-8886718.750000,-79.208303567970418
-8881835.937500,-79.234195928352165
-8876953.125000,-79.150487247461598
-8872070.312500,-79.117165948405102
-8867187.500000,-79.183526380264169
-8862304.687500,-79.066227224712890
-8857421.875000,-79.085522371478675
-8852539.062500,-79.212361999113270
-8847656.250000,-79.305359955360444
-8842773.437500,-79.249701677655395
-8837890.625000,-79.150826194192220
-8833007.812500,-79.139357520926353
-8828125.000000,-79.106717934929208
-8823242.187500,-79.010480440261176
-8818359.375000,-79.061034520985501
-8813476.562500,-79.115931328735527
-8808593.750000,-79.133785257188535
-8803710.937500,-79.059201408985558
-8798828.125000,-78.988993519532343
-8793945.312500,-78.958103633488761
-8789062.500000,-79.119617782079089
-8784179.687500,-79.072408437708717
-8779296.875000,-79.083711991275379
-8774414.062500,-79.128111267942160
-8769531.250000,-79.194337151478592
-8764648.437500,-79.212064908140420
-8759765.625000,-79.160404282295261
-8754882.812500,-79.194879365927960
-8750000.000000,-79.184208059355711
-8745117.187500,-79.120034505399872
-8740234.375000,-79.126362313532596
-8735351.562500,-79.202468894734920
-8730468.750000,-79.155418066419472
-8725585.937500,-79.015782969961293
-8720703.125000,-79.079355791732567
-8715820.312500,-79.066252081465166
-8710937.500000,-79.085079957288798
-8706054.687500,-79.089781650706939
-8701171.875000,-79.120880967409093
-8696289.062500,-79.079183643620212
-8691406.250000,-79.151013378594413
-8686523.437500,-79.075299780128432
-8681640.625000,-79.036510165131062
-8676757.812500,-79.117338744002481
-8671875.000000,-79.114751181227433
-8666992.187500,-79.134369893050717
-8662109.375000,-79.147746947860227
-8657226.562500,-79.111293312978631
-8652343.750000,-79.069693474617594
-8647460.937500,-79.062602573620339
-8642578.125000,-79.032727583567592
-8637695.312500,-79.111849342024030
-8632812.500000,-79.112543320696858
-8627929.687500,-79.044273162848825
-8623046.875000,-79.075340259492592
-8618164.062500,-79.099358875974119
-8613281.250000,-79.129737507310381
-8608398.437500,-79.101336690112717
-8603515.625000,-79.157194284899589
-8598632.812500,-79.147719515412632
-8593750.000000,-79.200934680661931
-8588867.187500,-79.143360738257130
-8583984.375000,-79.096366670879576
-8579101.562500,-79.076193669176561
-8574218.750000,-79.003872170623552
-8569335.937500,-79.043004867079603
-8564453.125000,-79.053988713113156
-8559570.312500,-78.997043327266482
-8554687.500000,-79.098565657783240
-8549804.687500,-79.192373028642251
-8544921.875000,-79.163479663913520
-8540039.062500,-79.082367738518286
-8535156.250000,-79.125353389448165
-8530273.437500,-79.217740571981082
-8525390.625000,-79.159927645962981
-8520507.812500,-79.068083793514020
-8515625.000000,-79.111967918858582
-8510742.187500,-79.160478396326738
-8505859.375000,-78.699067882836744
-8500976.562500,-77.543018480269637
-8496093.750000,-78.863737923438720
-8491210.937500,-79.099280131968854
-8486328.125000,-79.116536012397731
-8481445.312500,-79.127715025696432
-8476562.500000,-79.068308406027953
-8471679.687500,-79.063268901700113
-8466796.875000,-79.106084881419946
-8461914.062500,-79.089431841636753
-8457031.250000,-79.115831189604336
-8452148.437500,-79.091416161195767
-8447265.625000,-79.070483321240005
-8442382.812500,-79.060444578714041
-8437500.000000,-79.130008452175971
-8432617.187500,-79.105697235090673
-8427734.375000,-79.026008285253070
-8422851.562500,-79.018471848950455
-8417968.750000,-79.142701170893602
-8413085.937500,-79.143384421817601
-8408203.125000,-79.088576259117701
-8403320.312500,-79.109516393727802
-8398437.500000,-79.180396439996372
-8393554.687500,-79.161900311976382
-8388671.875000,-79.159946108661245
-8383789.062500,-79.197473936055005
-8378906.250000,-79.116391608228454
-8374023.437500,-79.109808431236928
-8369140.625000,-79.081234264491684
-8364257.812500,-79.100985355946847
-8359375.000000,-79.123003894064610
-8354492.187500,-79.053476293720323
-8349609.375000,-79.035326185908957
-8344726.562500,-79.015162256573873
-8339843.750000,-78.929892506569956
-8334960.937500,-78.887481193047208
-8330078.125000,-78.734051355753948
-8325195.312500,-78.542883601811724
-8320312.500000,-78.316083003368959
-8315429.687500,-78.046264735564094
-8310546.875000,-77.990169408681908
-8305664.062500,-77.980208198904847
-8300781.250000,-78.068104994103308
-8295898.437500,-78.280745787457050
-8291015.625000,-78.591088313616098
-8286132.812500,-78.824514881748712
-8281250.000000,-78.963945939723146
-8276367.187500,-79.025568061500962
-8271484.375000,-79.014546701445397
-8266601.562500,-79.055735913721847
-8261718.750000,-79.030540322194383
-8256835.937500,-79.032631492281610
-8251953.125000,-79.015117412099471
-8247070.312500,-79.064255319406769
-8242187.500000,-79.112169288650023
-8237304.687500,-79.107901568328998
-8232421.875000,-79.144504851374521
-8227539.062500,-79.084643775278749
-8222656.250000,-79.106627316872647
-8217773.437500,-79.106931049918870
-8212890.625000,-79.175373739978397
-8208007.812500,-79.178354180747959
-8203125.000000,-79.148041671673880
-8198242.187500,-79.118571636722280
-8193359.375000,-79.167916331955183
-8188476.562500,-79.139693895889621
-8183593.750000,-79.064933601957279
-8178710.937500,-79.120017135351617
-8173828.125000,-79.114095596154286
-8168945.312500,-79.115756480106867
-8164062.500000,-79.115163297441185
-8159179.687500,-79.100727531735899
-8154296.875000,-79.132357195210105
-8149414.062500,-79.151298367588922
-8144531.250000,-79.183443853043016
-8139648.437500,-79.121907770158941
-8134765.625000,-79.182491346850114
-8129882.812500,-79.157152045548685
-8125000.000000,-79.074732331510845
-8120117.187500,-79.105931860908399
-8115234.375000,-79.075637029929055
-8110351.562500,-79.089275273990708
-8105468.750000,-79.166438658637844
-8100585.937500,-79.160106189507076
-8095703.125000,-79.094911347403951
-8090820.312500,-79.163760087424578
-8085937.500000,-79.182121678147467
-8081054.687500,-79.168447622356510
-8076171.875000,-79.096333437185706
-8071289.062500,-79.047876986802748
-8066406.250000,-79.085364096264726
-8061523.437500,-79.170040303704667
-8056640.625000,-79.166375427549298
-8051757.812500,-79.112665769180595
-8046875.000000,-79.043708158258298
-8041992.187500,-79.130299056373104
-8037109.375000,-79.120221861480800
-8032226.562500,-79.109872718715067
-8027343.750000,-79.143944717351900
-8022460.937500,-79.074118089462971
