Frecuencia (Hz),PSD
-10000000.000000,-78.466813848968556
-9995117.187500,-79.130073156139701
-9990234.375000,-79.338885006221119
-9985351.562500,-79.375064444137038
-9980468.750000,-79.361540243358803
-9975585.937500,-79.413066383377213
-9970703.125000,-79.356465277243629
-9965820.312500,-79.389599585864303
-9960937.500000,-79.401277740729313
-9956054.687500,-79.351311357871012
-9951171.875000,-79.271699438189302
-9946289.062500,-79.348238518654227
-9941406.250000,-79.312257723070445
-9936523.437500,-79.325956282173152
-9931640.625000,-79.383515963951112
-9926757.812500,-79.435542674810847
-9921875.000000,-79.382340759163725
-9916992.187500,-79.349380820566211
-9912109.375000,-79.361018915323953
-9907226.562500,-79.383763630783037
-9902343.750000,-79.326387289670080
-9897460.937500,-79.361638159604965
-9892578.125000,-79.349391050193759
-9887695.312500,-79.321065020480560
-9882812.500000,-79.320325475397638
-9877929.687500,-79.338562734840806
-9873046.875000,-79.352371287902770
-9868164.062500,-79.290561674345255
-9863281.250000,-79.280133773154461
-9858398.437500,-79.314741864317199
-9853515.625000,-79.348199566150953
-9848632.812500,-79.312237575561909
-9843750.000000,-79.350783417679921
-9838867.187500,-79.305952011151660
-9833984.375000,-79.335216428712897
-9829101.562500,-79.314897111115016
-9824218.750000,-79.381054357550425
-9819335.937500,-79.391155821702995
-9814453.125000,-79.355308595156103
-9809570.312500,-79.300565856375101
-9804687.500000,-79.316131606569087
-9799804.687500,-79.304473276481843
-9794921.875000,-79.278378788655942
-9790039.062500,-79.196795323852399
-9785156.250000,-79.272455077978947
-9780273.437500,-79.288293387448746
-9775390.625000,-79.294529309366027
-9770507.812500,-79.271497365494369
-9765625.000000,-79.315672464988040
-9760742.187500,-79.311759380373061
-9755859.375000,-79.308204946526132
-9750976.562500,-79.314471885061309
-9746093.750000,-79.452189356987617
-9741210.937500,-79.361921776572601
-9736328.125000,-79.342094417369339
-9731445.312500,-79.349216898067212
-9726562.500000,-79.369255123352531
-9721679.687500,-79.421902081585870
-9716796.875000,-79.405803318525372
-9711914.062500,-79.377397701466236
-9707031.250000,-79.377921066820903
-9702148.437500,-79.314799668072084
-9697265.625000,-79.285916436074075
-9692382.812500,-79.288601013390036
-9687500.000000,-79.354853946772195
-9682617.187500,-79.393980317859430
-9677734.375000,-79.288530299000342
-9672851.562500,-79.362787059534142
-9667968.750000,-79.382217174844115
-9663085.937500,-79.369151478960433
-9658203.125000,-79.471826459005499
-9653320.312500,-79.483424414535222
-9648437.500000,-79.376979737457290
-9643554.687500,-79.312960442716872
-9638671.875000,-79.352340023626510
-9633789.062500,-79.408164053722913
-9628906.250000,-79.420512486307629
-9624023.437500,-79.446176806402576
-9619140.625000,-79.398702954991919
-9614257.812500,-79.431181491106983
-9609375.000000,-79.440902832626364
-9604492.187500,-79.426952799322422
-9599609.375000,-79.406761753302078
-9594726.562500,-79.367600156326290
-9589843.750000,-79.315394725627712
-9584960.937500,-79.360679874800354
-9580078.125000,-79.341969011268560
-9575195.312500,-79.287565047665979
-9570312.500000,-79.345758404130962
-9565429.687500,-79.353674015057152
-9560546.875000,-79.358533977521645
-9555664.062500,-79.365895257951593
-9550781.250000,-79.340076568039606
-9545898.437500,-79.411267461022589
-9541015.625000,-79.396125147738033
-9536132.812500,-79.313342710828209
-9531250.000000,-79.348294862479221
-9526367.187500,-79.404855053467827
-9521484.375000,-79.382258910660781
-9516601.562500,-79.437248493056273
-9511718.750000,-79.455032298084362
-9506835.937500,-79.343218361761927
-9501953.125000,-79.380920552074201
-9497070.312500,-79.417761972157209
-9492187.500000,-79.429468687623370
-9487304.687500,-79.388366804306884
-9482421.875000,-79.374841432519204
-9477539.062500,-79.305736675731751
-9472656.250000,-79.353015875034686
-9467773.437500,-79.342282011065436
-9462890.625000,-79.290475517087827
-9458007.812500,-79.337451356288454
-9453125.000000,-79.400859693341445
-9448242.187500,-79.363479142494114
-9443359.375000,-79.270844748668509
-9438476.562500,-79.273796810188898
-9433593.750000,-79.271216637051538
-9428710.937500,-79.296506574079288
-9423828.125000,-79.296515892191792
-9418945.312500,-79.313298307882462
-9414062.500000,-79.257755999889355
-9409179.687500,-79.314253498015361
-9404296.875000,-79.345895502411835
-9399414.062500,-79.332092231519653
-9394531.250000,-79.361699801817707
-9389648.437500,-79.369548502454336
-9384765.625000,-79.272039113530951
-9379882.812500,-79.324727712411345
-9375000.000000,-79.419025552938407
-9370117.187500,-79.363098728795762
-9365234.375000,-79.318754939899989
-9360351.562500,-79.346934792743099
-9355468.750000,-79.314485164816674
-9350585.937500,-79.300070314642028
-9345703.125000,-79.361634571912390
-9340820.312500,-79.360968294216462
-9335937.500000,-79.379093805693586
-9331054.687500,-79.334057466039795
-9326171.875000,-79.299890779503585
-9321289.062500,-79.380205129553246
-9316406.250000,-79.393848488340026
-9311523.437500,-79.327229292037856
-9306640.625000,-79.419617249408418
-9301757.812500,-79.399643519184039
-9296875.000000,-79.397445036193602
-9291992.187500,-79.474427074941104
-9287109.375000,-79.478570360297425
-9282226.562500,-79.481079218325561
-9277343.750000,-79.415169348430751
-9272460.937500,-79.450864841639913
-9267578.125000,-79.350923748466897
-9262695.312500,-79.389526053895750
-9257812.500000,-79.443040215604753
-9252929.687500,-79.411360749468997
-9248046.875000,-79.414449290398878
-9243164.062500,-79.402163973076227
-9238281.250000,-79.337985987934900
-9233398.437500,-79.346350436134941
-9228515.625000,-79.342049545438854
-9223632.812500,-79.432726934909738
-9218750.000000,-79.393782613567623
-9213867.187500,-79.439374194950659
-9208984.375000,-79.403204368383896
-9204101.562500,-79.426005926831465
-9199218.750000,-79.441526990730850
-9194335.937500,-79.429297590143818
-9189453.125000,-79.401562616859692
-9184570.312500,-79.401541675388103
-9179687.500000,-79.414001148807117
-9174804.687500,-79.377687199920373
-9169921.875000,-79.323399295456639
-9165039.062500,-79.342441117976620
-9160156.250000,-79.367283094292162
-9155273.437500,-79.415629864422456
-9150390.625000,-79.405661625094041
-9145507.812500,-79.365518524870510
-9140625.000000,-79.310973113922842
-9135742.187500,-79.310493295388994
-9130859.375000,-79.261497192456702
-9125976.562500,-79.294089065824309
-9121093.750000,-79.335548028953852
-9116210.937500,-79.367149681944014
-9111328.125000,-79.328665669850210
-9106445.312500,-79.333168793914240
-9101562.500000,-79.270791369994555
-9096679.687500,-79.348654712857780
-9091796.875000,-79.359082444025518
-9086914.062500,-79.331845058688344
-9082031.250000,-79.391321517039074
-9077148.437500,-79.395681351799453
-9072265.625000,-79.423168040462627
-9067382.812500,-79.406167155895233
-9062500.000000,-79.398817052686297
-9057617.187500,-79.374599646327013
-9052734.375000,-79.435381632240208
-9047851.562500,-79.462965277725871
-9042968.750000,-79.442937981195485
-9038085.937500,-79.422150434036453
-9033203.125000,-79.372640630278980
-9028320.312500,-79.340145525057707
-9023437.500000,-79.317793318762767
-9018554.687500,-79.349056864501520
-9013671.875000,-79.377607206446910
-9008789.062500,-79.373879360269640
-9003906.250000,-79.322488266692034
-8999023.437500,-79.355685368190350
-8994140.625000,-79.339393126743715
-8989257.812500,-79.288917716969024
-8984375.000000,-79.295137088824262
-8979492.187500,-79.318812007142327
-8974609.375000,-79.434845025775246
-8969726.562500,-79.402817676393795
-8964843.750000,-79.391854958410960
-8959960.937500,-79.335540222392794
-8955078.125000,-79.420063657661984
-8950195.312500,-79.412190237371249
-8945312.500000,-79.394488613010552
-8940429.687500,-79.318710764031565
-8935546.875000,-79.393463906013608
-8930664.062500,-79.417313958721635
-8925781.250000,-79.404355826568860
-8920898.437500,-79.358792109452722
-8916015.625000,-79.386407626774343
-8911132.812500,-79.406261148059315
-8906250.000000,-79.387732582906366
-8901367.187500,-79.352002232907680
-8896484.375000,-79.333010901607409
-8891601.562500,-79.394331635782606
-8886718.750000,-79.444837705625289
-8881835.937500,-79.409708668077414
-8876953.125000,-79.336065093131396
-8872070.312500,-79.353809271339216
-8867187.500000,-79.259160447254573
-8862304.687500,-79.372253151515878
-8857421.875000,-79.400530369728727
