Frecuencia (Hz),PSD
-10000000.000000,-32.552414093172487
-9995117.187500,-36.213372064169391
-9990234.375000,-38.588914421249122
-9985351.562500,-39.167470992496661
-9980468.750000,-40.016542748976761
-9975585.937500,-40.356267017101999
-9970703.125000,-40.664160989255436
-9965820.312500,-40.804654867227093
-9960937.500000,-41.081243074307423
-9956054.687500,-41.451916973415699
-9951171.875000,-41.472783511619625
-9946289.062500,-41.655472278808460
-9941406.250000,-41.689853243557344
-9936523.437500,-41.761929169448599
-9931640.625000,-41.861996961739436
-9926757.812500,-41.834811588678555
-9921875.000000,-41.926442415067910
-9916992.187500,-42.039975839833630
-9912109.375000,-42.150948337225891
-9907226.562500,-41.991286384647076
-9902343.750000,-41.912827143183065
-9897460.937500,-42.248031651304444
-9892578.125000,-42.298168649951791
-9887695.312500,-42.287323281540623
-9882812.500000,-42.336377644993000
-9877929.687500,-42.244906357339580
-9873046.875000,-42.236726081816059
-9868164.062500,-42.227586163061432
-9863281.250000,-42.258212827286940
-9858398.437500,-42.247426266695449
-9853515.625000,-42.248338255984869
-9848632.812500,-42.253246489040912
-9843750.000000,-42.281761550235998
-9838867.187500,-42.258741273653101
-9833984.375000,-42.218630934506038
-9829101.562500,-42.349586734383848
-9824218.750000,-42.371502434141888
-9819335.937500,-42.320614560109746
-9814453.125000,-42.268731703831399
-9809570.312500,-42.111275205643828
-9804687.500000,-42.106442982154569
-9799804.687500,-42.284144401012583
-9794921.875000,-42.397101489114455
-9790039.062500,-42.435436848192907
-9785156.250000,-42.405405572515633
-9780273.437500,-42.372578950941183
-9775390.625000,-42.371871785848974
-9770507.812500,-42.411913431730397
-9765625.000000,-42.411995327752614
-9760742.187500,-42.392608389176196
-9755859.375000,-42.365180234170225
-9750976.562500,-42.345052409402662
-9746093.750000,-42.358210179635577
-9741210.937500,-42.355948533463433
-9736328.125000,-42.425924093600898
-9731445.312500,-42.414680755627842
-9726562.500000,-42.330557049093336
-9721679.687500,-42.355669984507358
-9716796.875000,-42.358789104514727
-9711914.062500,-42.248599784809727
-9707031.250000,-42.240705954372693
-9702148.437500,-42.380143744187322
-9697265.625000,-42.455486443933168
-9692382.812500,-42.491814206646161
-9687500.000000,-42.443555241674503
-9682617.187500,-42.422978040199204
-9677734.375000,-42.470435195233961
-9672851.562500,-42.466111651765452
-9667968.750000,-42.424877869179895
-9663085.937500,-42.386590205247252
-9658203.125000,-42.452891070965478
-9653320.312500,-42.373344072037554
-9648437.500000,-42.370930816744206
-9643554.687500,-42.447675822773220
-9638671.875000,-42.535023609775280
-9633789.062500,-42.455751271037784
-9628906.250000,-42.411517818626201
-9624023.437500,-42.388832249914088
-9619140.625000,-42.328107259072276
-9614257.812500,-42.287864764359938
-9609375.000000,-42.372582840003290
-9604492.187500,-42.484153704404619
-9599609.375000,-42.456913387670461
-9594726.562500,-42.417539697231987
-9589843.750000,-42.435808449547359
-9584960.937500,-42.498731445633233
-9580078.125000,-42.509677425666091
-9575195.312500,-42.465804539563294
-9570312.500000,-42.513761010717246
-9565429.687500,-42.491334662361673
-9560546.875000,-42.510009296647922
-9555664.062500,-42.548277804579328
-9550781.250000,-42.493876614861520
-9545898.437500,-42.454387144424068
-9541015.625000,-42.447801197867605
-9536132.812500,-42.391177334296763
-9531250.000000,-42.390995055833535
-9526367.187500,-42.500301318836726
-9521484.375000,-42.390833691375519
-9516601.562500,-42.276463662968538
