Frequency_Hz,Power_dBm
140587890.62,-66.6517
140597656.25,-66.6643
140607421.88,-66.7129
140617187.50,-66.6890
140626953.12,-66.6781
140636718.75,-66.6831
140646484.38,-66.6784
140656250.00,-66.7045
140666015.62,-66.7134
140675781.25,-66.7227
140685546.88,-66.7543
140695312.50,-66.7275
140705078.12,-66.6694
140714843.75,-66.7119
140724609.38,-66.7008
140734375.00,-66.6826
140744140.62,-66.6467
140753906.25,-66.7179
140763671.88,-66.7821
140773437.50,-66.6558
140783203.12,-66.7385
140792968.75,-66.6702
140802734.38,-66.6355
140812500.00,-66.6755
140822265.62,-66.7155
140832031.25,-66.7734
140841796.88,-66.7245
140851562.50,-66.7275
140861328.12,-66.7285
140871093.75,-66.7096
140880859.38,-66.6572
140890625.00,-66.7004
140900390.62,-66.7888
140910156.25,-66.7974
140919921.88,-66.7323
140929687.50,-66.6928
140939453.12,-66.6866
140949218.75,-66.6272
140958984.38,-66.6197
140968750.00,-66.7060
140978515.62,-66.7414
140988281.25,-66.7335
140998046.88,-66.7349
141007812.50,-66.7107
141017578.12,-66.6747
141027343.75,-66.6965
141037109.38,-66.7520
141046875.00,-66.6988
141056640.62,-66.6454
141066406.25,-66.7070
141076171.88,-66.7243
141085937.50,-66.6880
141095703.12,-66.7318
141105468.75,-66.7276
141115234.38,-66.7125
141125000.00,-66.7361
141134765.62,-66.7217
141144531.25,-66.7086
141154296.88,-66.7081
141164062.50,-66.7322
141173828.12,-66.7454
141183593.75,-66.7424
141193359.38,-66.6934
141203125.00,-66.7111
141212890.62,-66.7516
141222656.25,-66.7541
141232421.88,-66.7402
141242187.50,-66.7125
141251953.12,-66.7371
141261718.75,-66.6489
141271484.38,-66.6184
141281250.00,-66.6685
141291015.62,-66.7525
141300781.25,-66.6453
141310546.88,-66.6579
141320312.50,-66.6245
141330078.12,-66.6698
141339843.75,-66.6823
141349609.38,-66.7306
141359375.00,-66.7252
141369140.62,-66.7285
141378906.25,-66.7150
141388671.88,-66.6783
141398437.50,-66.7136
141408203.12,-66.7400
141417968.75,-66.7365
141427734.38,-66.7423
141437500.00,-66.7169
141447265.62,-66.7195
141457031.25,-66.6434
141466796.88,-66.7302
141476562.50,-66.7038
141486328.12,-66.7057
141496093.75,-66.6980
141505859.38,-66.7151
141515625.00,-66.7731
141525390.62,-66.7476
141535156.25,-66.7453
141544921.88,-66.6986
141554687.50,-66.7451
141564453.12,-66.6641
141574218.75,-66.6498
141583984.38,-66.6977
141593750.00,-66.7686
141603515.62,-66.7446
141613281.25,-66.6731
141623046.88,-66.6629
141632812.50,-66.7195
141642578.12,-66.6809
141652343.75,-66.6125
141662109.38,-66.7329
141671875.00,-66.7047
141681640.62,-66.7007
141691406.25,-66.7192
141701171.88,-66.7090
141710937.50,-66.6614
141720703.12,-66.6850
141730468.75,-66.7396
141740234.38,-66.7348
141750000.00,-66.7164
141759765.62,-66.6943
141769531.25,-66.6844
141779296.88,-66.6246
141789062.50,-66.6028
141798828.12,-66.6590
141808593.75,-66.7198
141818359.38,-66.6980
141828125.00,-66.6650
141837890.62,-66.6388
141847656.25,-66.7030
141857421.88,-66.7399
141867187.50,-66.7216
141876953.12,-66.6885
141886718.75,-66.6868
141896484.38,-66.6822
141906250.00,-66.6830
141916015.62,-66.7376
141925781.25,-66.6998
141935546.88,-66.6265
141945312.50,-66.6769
141955078.12,-66.7400
141964843.75,-66.7153
141974609.38,-66.7105
141984375.00,-66.7112
141994140.62,-66.6472
142003906.25,-66.6501
142013671.88,-66.6559
142023437.50,-66.6988
142033203.12,-66.7322
142042968.75,-66.7162
142052734.38,-66.6564
142062500.00,-66.6674
142072265.62,-66.7413
142082031.25,-66.7115
142091796.88,-66.6447
142101562.50,-66.7362
142111328.12,-66.7608
142121093.75,-66.7073
142130859.38,-66.7074
142140625.00,-66.7220
142150390.62,-66.7588
142160156.25,-66.7581
142169921.88,-66.7030
142179687.50,-66.7102
142189453.12,-66.7525
142199218.75,-66.6509
142208984.38,-66.6054
142218750.00,-66.6057
142228515.62,-66.6599
142238281.25,-66.6863
142248046.88,-66.6874
142257812.50,-66.6425
142267578.12,-66.7325
142277343.75,-66.7206
142287109.38,-66.6459
142296875.00,-66.6807
142306640.62,-66.7119
142316406.25,-66.6876
142326171.88,-66.7109
142335937.50,-66.6955
142345703.12,-66.6667
142355468.75,-66.7162
142365234.38,-66.6936
142375000.00,-66.7285
142384765.62,-66.7125
142394531.25,-66.7088
142404296.88,-66.6972
142414062.50,-66.7035
142423828.12,-66.7331
142433593.75,-66.6418
142443359.38,-66.6768
142453125.00,-66.7062
142462890.62,-66.6320
142472656.25,-66.6744
142482421.88,-66.7387
142492187.50,-66.7514
142501953.12,-66.6844
142511718.75,-66.6719
142521484.38,-66.6832
142531250.00,-66.6867
142541015.62,-66.6719
142550781.25,-66.6699
142560546.88,-66.7154
142570312.50,-66.7150
142580078.12,-66.6899
142589843.75,-66.6391
142599609.38,-66.6907
142609375.00,-66.6886
142619140.62,-66.6740
142628906.25,-66.6854
142638671.88,-66.6754
142648437.50,-66.7153
142658203.12,-66.6778
142667968.75,-66.7448
142677734.38,-66.8130
142687500.00,-66.7628
142697265.62,-66.7090
142707031.25,-66.7031
142716796.88,-66.7653
142726562.50,-66.7764
142736328.12,-66.8469
142746093.75,-66.8435
142755859.38,-66.7125
142765625.00,-66.6829
142775390.62,-66.6217
142785156.25,-66.7013
142794921.88,-66.7381
142804687.50,-66.6952
142814453.12,-66.7347
142824218.75,-66.7195
142833984.38,-66.7094
142843750.00,-66.7542
142853515.62,-66.7243
142863281.25,-66.6686
142873046.88,-66.6939
142882812.50,-66.7366
142892578.12,-66.7668
142902343.75,-66.7295
142912109.38,-66.7307
142921875.00,-66.7822
142931640.62,-66.6968
142941406.25,-66.6860
142951171.88,-66.6569
142960937.50,-66.7801
142970703.12,-66.7273
142980468.75,-66.7159
142990234.38,-66.7160
143000000.00,-66.7254
143009765.62,-66.7340
143019531.25,-66.7227
143029296.88,-66.7369
143039062.50,-66.7850
143048828.12,-66.7565
143058593.75,-66.6926
143068359.38,-66.6784
143078125.00,-66.8032
143087890.62,-66.8420
143097656.25,-66.7256
143107421.88,-66.7061
143117187.50,-66.7749
143126953.12,-66.7483
143136718.75,-66.7235
143146484.38,-66.7331
143156250.00,-66.7189
143166015.62,-66.7387
143175781.25,-66.7251
143185546.88,-66.7384
143195312.50,-66.7551
143205078.12,-66.7108
143214843.75,-66.6998
143224609.38,-66.7164
143234375.00,-66.7352
143244140.62,-66.7339
143253906.25,-66.7056
143263671.88,-66.7725
143273437.50,-66.7900
143283203.12,-66.8275
143292968.75,-66.7531
143302734.38,-66.7591
143312500.00,-66.7290
143322265.62,-66.7548
143332031.25,-66.7894
143341796.88,-66.7779
143351562.50,-66.7552
143361328.12,-66.8088
143371093.75,-66.8609
143380859.38,-66.7370
143390625.00,-66.7379
143400390.62,-66.7632
143410156.25,-66.7802
143419921.88,-66.7822
143429687.50,-66.6913
143439453.12,-66.6823
143449218.75,-66.7673
143458984.38,-66.7737
143468750.00,-66.7921
143478515.62,-66.7770
143488281.25,-66.7276
143498046.88,-66.7990
143507812.50,-66.8117
