# Timestamp: 20251217_153846
# Config: {'ip': '192.168.46.113', 'ruta_salida': '/home/gcpds/Desktop/Procesamiento_ANE2/ANE2_procesamiento/extraccion', 'frecuencia_central_hz': 98000000, 'span_hz': 20000000, 'puntos': 1024}
Frecuencia_Hz,Amplitud_dBm
88000000.00,-90.600080
88019550.34,-96.563039
88039100.68,-90.430562
88058651.03,-96.230873
88078201.37,-90.465276
88097751.71,-96.692079
88117302.05,-91.042059
88136852.39,-97.279399
88156402.74,-90.460073
88175953.08,-96.300495
88195503.42,-90.401721
88215053.76,-96.717005
88234604.11,-90.437758
88254154.45,-96.445261
88273704.79,-91.209040
88293255.13,-96.953700
88312805.47,-90.632165
88332355.82,-96.584758
88351906.16,-90.923964
88371456.50,-97.011716
88391006.84,-90.699121
88410557.18,-96.613563
88430107.53,-90.715384
88449657.87,-97.572693
88469208.21,-91.440147
88488758.55,-97.057885
88508308.90,-90.985161
88527859.24,-96.519893
88547409.58,-90.878700
88566959.92,-96.216822
88586510.26,-90.380289
88606060.61,-96.371719
88625610.95,-90.991013
88645161.29,-96.014662
88664711.63,-90.437682
88684261.97,-96.163407
88703812.32,-90.816325
88723362.66,-96.315701
88742913.00,-90.329008
88762463.34,-96.207382
88782013.69,-90.161632
88801564.03,-96.435838
88821114.37,-89.877385
88840664.71,-95.774196
88860215.05,-88.339691
88879765.40,-91.488450
88899315.74,-85.640994
88918866.08,-91.123166
88938416.42,-86.432673
88957966.76,-94.284068
88977517.11,-89.817980
88997067.45,-96.135604
89016617.79,-89.762461
89036168.13,-96.622661
89055718.48,-90.653309
89075268.82,-96.922424
89094819.16,-90.553491
89114369.50,-97.167631
89133919.84,-90.641420
89153470.19,-96.188339
89173020.53,-90.567879
89192570.87,-97.250506
89212121.21,-90.873405
89231671.55,-97.072712
89251221.90,-90.498730
89270772.24,-96.538992
89290322.58,-91.024092
89309872.92,-96.910208
89329423.26,-90.458380
89348973.61,-96.257605
89368523.95,-90.188410
89388074.29,-95.782890
89407624.63,-90.203491
89427174.98,-95.791769
89446725.32,-90.409259
89466275.66,-96.488842
89485826.00,-90.524264
89505376.34,-96.579893
89524926.69,-90.706451
89544477.03,-96.642147
89564027.37,-90.733520
89583577.71,-95.748621
89603128.05,-88.421213
89622678.40,-91.922681
89642228.74,-80.773581
89661779.08,-79.848031
89681329.42,-73.716854
89700879.77,-75.482660
89720430.11,-75.501818
89739980.45,-83.311780
89759530.79,-83.590740
89779081.13,-92.974886
89798631.48,-88.822941
89818181.82,-96.158974
89837732.16,-90.516276
89857282.50,-97.091130
89876832.84,-90.330308
89896383.19,-95.625897
89915933.53,-90.583423
89935483.87,-96.427005
89955034.21,-89.948315
89974584.56,-95.852872
89994134.90,-89.969780
90013685.24,-95.407555
90033235.58,-90.514505
90052785.92,-96.445937
90072336.27,-90.078573
90091886.61,-96.741682
90111436.95,-91.009303
90130987.29,-96.361036
90150537.63,-90.555608
90170087.98,-96.390061
90189638.32,-90.818615
90209188.66,-96.216171
90228739.00,-89.684430
90248289.35,-94.257343
90267839.69,-86.883203
90287390.03,-91.372980
90306940.37,-86.352073
90326490.71,-94.416213
90346041.06,-89.321633
90365591.40,-96.483594
90385141.74,-90.595595
90404692.08,-95.763825
90424242.42,-89.917976
90443792.77,-95.641797
90463343.11,-90.002130
90482893.45,-96.163690
90502443.79,-91.098774
90521994.13,-97.070853
90541544.48,-90.563801
90561094.82,-96.956720
90580645.16,-90.602411
90600195.50,-95.915878
90619745.85,-90.309325
90639296.19,-96.646472
90658846.53,-90.029923
90678396.87,-95.952340
