# Timestamp: 20251217_153912
# Config: {'ip': '192.168.46.113', 'ruta_salida': '/home/gcpds/Desktop/Procesamiento_ANE2/ANE2_procesamiento/extraccion', 'frecuencia_central_hz': 98000000, 'span_hz': 20000000, 'puntos': 4096}
Frecuencia_Hz,Amplitud_dBm
89240537.24,-92.770789
89245421.25,-93.121795
89250305.25,-92.691250
89255189.26,-93.172872
89260073.26,-92.913510
89264957.26,-93.671513
89269841.27,-93.135538
89274725.27,-93.367744
89279609.28,-92.743165
89284493.28,-93.011019
89289377.29,-92.863497
89294261.29,-93.407677
89299145.30,-93.042333
89304029.30,-93.400394
89308913.31,-92.944926
89313797.31,-93.456563
89318681.32,-93.341818
89323565.32,-93.920700
89328449.33,-93.648639
89333333.33,-94.229509
89338217.34,-93.795775
89343101.34,-94.268194
89347985.35,-93.847535
89352869.35,-94.059912
89357753.36,-93.247699
89362637.36,-93.229790
89367521.37,-92.928581
89372405.37,-93.542351
89377289.38,-93.184823
89382173.38,-93.613070
89387057.39,-93.261761
89391941.39,-93.590559
89396825.40,-93.365991
89401709.40,-93.902713
89406593.41,-93.657777
89411477.41,-94.476523
89416361.42,-94.160166
89421245.42,-94.467719
89426129.43,-93.534336
89431013.43,-94.018196
89435897.44,-93.601160
89440781.44,-93.937895
89445665.45,-93.544556
89450549.45,-93.907276
89455433.46,-93.562291
89460317.46,-93.857829
89465201.47,-93.559554
89470085.47,-94.146320
89474969.47,-94.045035
89479853.48,-94.464322
89484737.48,-93.814504
89489621.49,-93.973478
89494505.49,-93.613339
89499389.50,-93.924299
89504273.50,-93.471972
89509157.51,-93.861217
89514041.51,-93.384454
89518925.52,-93.703179
89523809.52,-93.244131
89528693.53,-93.394471
89533577.53,-92.788340
89538461.54,-93.091995
89543345.54,-92.827361
89548229.55,-93.419382
89553113.55,-93.097579
89557997.56,-93.473381
89562881.56,-93.025710
89567765.57,-93.346296
89572649.57,-93.024204
89577533.58,-93.616233
89582417.58,-93.238527
89587301.59,-93.736456
89592185.59,-93.342335
89597069.60,-93.871505
89601953.60,-93.243368
89606837.61,-93.349992
89611721.61,-92.457859
89616605.62,-92.763471
89621489.62,-91.544751
89626373.63,-91.591169
89631257.63,-89.462700
89636141.64,-88.838909
89641025.64,-86.427830
89645909.65,-85.395018
89650793.65,-83.142302
89655677.66,-81.815590
89660561.66,-79.960814
89665445.67,-78.646876
89670329.67,-77.024068
89675213.68,-75.794774
89680097.68,-74.657248
89684981.68,-73.795107
89689865.69,-73.191545
89694749.69,-72.838460
89699633.70,-72.710067
89704517.70,-72.816227
89709401.71,-73.126430
89714285.71,-73.645375
89719169.72,-74.327648
89724053.72,-75.200695
89728937.73,-76.206406
89733821.73,-77.629360
89738705.74,-78.558010
89743589.74,-79.927854
89748473.75,-81.188372
89753357.75,-82.922056
89758241.76,-83.789035
89763125.76,-85.064947
89768009.77,-85.755693
89772893.77,-87.305446
89777777.78,-88.545222
89782661.78,-89.974204
