# Timestamp: 20251217_153756
# Config: {'ip': '192.168.46.113', 'ruta_salida': '/home/gcpds/Desktop/Procesamiento_ANE2/ANE2_procesamiento/extraccion', 'frecuencia_central_hz': 98000000, 'span_hz': 20000000, 'puntos': 4096}
Frecuencia_Hz,Amplitud_dBm
88000000.00,-92.339511
88004884.00,-93.226253
88009768.01,-93.464470
88014652.01,-94.353292
88019536.02,-93.842434
88024420.02,-94.187330
88029304.03,-93.699387
88034188.03,-94.028785
88039072.04,-93.536896
88043956.04,-94.044199
88048840.05,-93.993228
88053724.05,-94.657658
88058608.06,-93.898485
88063492.06,-94.156407
88068376.07,-93.398733
88073260.07,-93.373822
88078144.08,-92.675333
88083028.08,-92.942095
88087912.09,-92.851782
88092796.09,-93.512101
88097680.10,-93.202102
88102564.10,-93.518191
88107448.11,-92.946841
88112332.11,-93.309782
88117216.12,-93.063361
88122100.12,-93.718877
88126984.13,-93.447438
88131868.13,-93.862496
88136752.14,-93.301613
88141636.14,-93.800528
88146520.15,-93.390232
88151404.15,-93.800798
88156288.16,-93.294036
88161172.16,-93.520883
88166056.17,-93.060298
88170940.17,-93.596035
88175824.18,-93.242134
88180708.18,-93.593163
88185592.19,-92.896756
88190476.19,-93.242619
88195360.20,-92.926184
88200244.20,-93.269947
88205128.21,-92.704847
88210012.21,-93.215743
88214896.21,-92.915563
88219780.22,-93.348773
88224664.22,-93.060303
88229548.23,-93.571568
88234432.23,-93.155334
88239316.24,-93.661884
88244200.24,-93.221295
88249084.25,-93.680330
88253968.25,-93.482875
88258852.26,-93.978385
88263736.26,-93.380821
88268620.27,-93.610956
88273504.27,-92.950694
88278388.28,-93.096354
88283272.28,-92.954031
88288156.29,-93.557006
88293040.29,-93.343333
88297924.30,-93.739105
88302808.30,-93.360410
88307692.31,-93.637342
88312576.31,-93.190157
88317460.32,-93.549716
88322344.32,-93.205853
88327228.33,-93.514481
88332112.33,-93.138759
88336996.34,-93.508262
88341880.34,-93.705035
88346764.35,-94.572879
88351648.35,-94.365315
88356532.36,-94.855908
88361416.36,-94.310911
88366300.37,-94.738900
88371184.37,-94.294061
88376068.38,-94.744701
88380952.38,-93.760826
88385836.39,-93.896203
88390720.39,-93.662762
88395604.40,-94.043653
88400488.40,-93.348675
88405372.41,-93.596252
88410256.41,-93.054034
88415140.42,-93.291082
88420024.42,-92.871943
88424908.42,-93.340868
88429792.43,-93.172795
88434676.43,-93.789370
88439560.44,-93.508577
88444444.44,-93.800379
88449328.45,-93.319131
88454212.45,-93.811618
88459096.46,-93.507283
88463980.46,-93.975345
88468864.47,-93.499084
88473748.47,-93.937823
88478632.48,-93.691287
88483516.48,-94.046182
88488400.49,-93.587658
88493284.49,-93.937215
88498168.50,-93.650765
88503052.50,-94.271265
88507936.51,-93.900897
88512820.51,-94.289440
88517704.52,-93.996851
88522588.52,-94.291866
88527472.53,-93.721900
88532356.53,-94.125797
88537240.54,-93.782136
88542124.54,-94.348869
88547008.55,-93.750245
88551892.55,-93.984049
88556776.56,-93.218580
88561660.56,-93.470382
88566544.57,-93.196402
88571428.57,-93.809099
88576312.58,-93.781735
88581196.58,-94.418729
88586080.59,-93.933528
88590964.59,-94.310222
88595848.60,-93.655644
88600732.60,-93.761371
88605616.61,-93.235526
88610500.61,-93.552870
88615384.62,-93.103815
88620268.62,-93.448969
88625152.63,-93.154470
88630036.63,-93.374506
88634920.63,-93.046066
88639804.64,-93.480155
88644688.64,-93.275323
88649572.65,-93.714491
88654456.65,-93.403325
88659340.66,-93.759919
88664224.66,-93.332327
88669108.67,-93.696618
88673992.67,-93.572556
88678876.68,-94.198330
88683760.68,-93.779271
88688644.69,-94.035844
88693528.69,-93.313876
88698412.70,-93.419703
88703296.70,-92.668689
88708180.71,-92.686224
88713064.71,-92.716378
88717948.72,-93.176086
88722832.72,-92.959331
88727716.73,-93.505426
88732600.73,-93.320116
88737484.74,-93.825949
88742368.74,-93.657408
88747252.75,-94.155486
88752136.75,-93.767633
88757020.76,-94.403136
88761904.76,-94.224239
88766788.77,-95.001267
88771672.77,-94.119527
88776556.78,-94.339922
88781440.78,-93.936215
88786324.79,-94.236123
88791208.79,-93.453675
88796092.80,-93.734128
88800976.80,-93.261410
88805860.81,-93.407309
88810744.81,-92.785770
88815628.82,-93.086619
88820512.82,-92.725344
88825396.83,-93.233005
88830280.83,-92.736401
88835164.84,-92.999736
88840048.84,-92.606218
88844932.84,-93.172529
88849816.85,-92.147219
88854700.85,-92.023588
88859584.86,-90.838621
88864468.86,-90.890715
88869352.87,-90.216153
88874236.87,-90.140789
88879120.88,-88.769631
88884004.88,-88.564641
88888888.89,-87.680228
88893772.89,-87.400123
88898656.90,-87.054455
88903540.90,-87.217215
88908424.91,-86.835311
88913308.91,-87.015922
88918192.92,-86.345613
88923076.92,-86.511412
88927960.93,-86.553535
88932844.93,-87.141091
88937728.94,-87.527522
88942612.94,-88.462436
88947496.95,-89.210652
88952380.95,-90.202070
88957264.96,-89.966321
88962148.96,-90.729414
88967032.97,-90.885183
88971916.97,-91.741461
88976800.98,-91.489285
88981684.98,-92.193509
88986568.99,-91.965890
88991452.99,-92.539831
88996337.00,-92.315097
89001221.00,-92.810319
89006105.01,-92.309825
89010989.01,-92.683887
89015873.02,-92.512779
89020757.02,-92.927834
89025641.03,-92.807593
89030525.03,-93.508412
89035409.04,-92.797037
89040293.04,-93.077598
89045177.05,-92.560283
89050061.05,-92.706866
89054945.05,-92.330660
89059829.06,-92.815916
89064713.06,-92.707142
89069597.07,-93.296622
89074481.07,-93.163868
89079365.08,-93.843984
89084249.08,-93.570433
89089133.09,-94.012601
89094017.09,-93.686929
89098901.10,-94.152656
89103785.10,-93.683638
89108669.11,-93.958347
89113553.11,-93.298240
89118437.12,-93.558947
89123321.12,-92.983340
89128205.13,-93.365696
89133089.13,-92.785718
89137973.14,-93.118895
89142857.14,-92.627819
89147741.15,-93.047664
89152625.15,-93.028355
89157509.16,-93.414518
89162393.16,-93.005043
89167277.17,-93.392548
89172161.17,-93.306010
89177045.18,-93.903888
89181929.18,-93.494470
89186813.19,-93.918267
89191697.19,-93.349627
89196581.20,-93.608793
89201465.20,-92.942553
89206349.21,-93.152881
89211233.21,-92.962514
89216117.22,-93.443632
89221001.22,-92.990404
