Frecuencia_Hz,PSD_dBm
95000000.0,-92.52571233346708
95004882.8125,-92.6263824861918
95009765.625,-92.51039272016314
95014648.4375,-92.54108245078874
95019531.25,-92.60679953549132
95024414.0625,-92.67450912886423
95029296.875,-92.75105467711455
95034179.6875,-92.6168439017315
95039062.5,-92.59566199809302
95043945.3125,-92.64662820825242
95048828.125,-92.66500059648274
95053710.9375,-92.64906319088146
95058593.75,-92.69401936772516
95063476.5625,-92.67632908415524
95068359.375,-92.6524317689817
95073242.1875,-92.70597938221218
95078125.0,-92.73657741031565
95083007.8125,-92.71125098340087
95087890.625,-92.72444796852852
95092773.4375,-92.67132192152692
95097656.25,-92.69700530571282
95102539.0625,-92.63296919672516
95107421.875,-92.80223324968216
95112304.6875,-92.90304349650197
95117187.5,-92.83585926771536
95122070.3125,-92.85424019346189
95126953.125,-92.79997637956566
95131835.9375,-92.73605912678462
95136718.75,-92.77639505800897
95141601.5625,-92.81813052739253
95146484.375,-92.83226668446054
95151367.1875,-92.87005580552449
95156250.0,-92.88270678252039
95161132.8125,-92.95683054864526
95166015.625,-92.99065413828063
95170898.4375,-92.9534235501441
95175781.25,-93.00763799545416
95180664.0625,-92.91065860246917
95185546.875,-92.91660855340922
95190429.6875,-92.90001739797219
95195312.5,-92.91529491066956
95200195.3125,-92.97277954887392
95205078.125,-93.03337741277966
95209960.9375,-92.95482407555252
95214843.75,-92.92953447181688
95219726.5625,-92.89052272935515
95224609.375,-92.98335453710166
95229492.1875,-92.92974794118535
95234375.0,-92.87278530717305
95239257.8125,-93.0170681675101
95244140.625,-92.90548777273321
95249023.4375,-93.00238343504529
95253906.25,-93.00854587207664
95258789.0625,-92.93883282114743
95263671.875,-92.8764916889362
95268554.6875,-92.92103345715336
95273437.5,-93.07813661614
95278320.3125,-92.92530074564615
95283203.125,-92.95145441895392
95288085.9375,-92.96970904914548
95292968.75,-92.96610790713564
95297851.5625,-92.93574684999643
95302734.375,-92.94881262410604
95307617.1875,-92.95736241621461
95312500.0,-92.8400101945746
95317382.8125,-93.08341132202386
95322265.625,-93.06082669522513
95327148.4375,-93.00300090052752
95332031.25,-92.94612374996137
95336914.0625,-92.88643175311853
95341796.875,-93.0078274442645
95346679.6875,-92.97417941752133
95351562.5,-92.78471358053613
95356445.3125,-93.02656707200816
95361328.125,-92.94110627728
95366210.9375,-92.9040143751065
95371093.75,-92.99422530156014
95375976.5625,-92.9700845366875
95380859.375,-92.95714801758339
95385742.1875,-92.86546287738986
95390625.0,-92.95044062870889
95395507.8125,-92.99744299164388
95400390.625,-92.86144072406654
95405273.4375,-93.10322553016499
95410156.25,-92.98509882624762
95415039.0625,-93.0508628400147
95419921.875,-93.00988294362199
95424804.6875,-92.97706353645572
95429687.5,-93.01095884001654
95434570.3125,-92.89938767077393
95439453.125,-92.98852939675984
95444335.9375,-92.90077415287803
95449218.75,-92.99878390679268
95454101.5625,-93.03492871799543
95458984.375,-92.993083034781
95463867.1875,-92.92437607951345
95468750.0,-92.98358843856428
95473632.8125,-92.88718607935775
95478515.625,-93.01812532336004
95483398.4375,-92.97084601047342
95488281.25,-92.93221548120533
95493164.0625,-92.94372460525469
95498046.875,-92.72935011503276
95502929.6875,-92.89987314475832
95507812.5,-92.85238834358691
95512695.3125,-92.93122281115453
95517578.125,-92.80179012064988
95522460.9375,-92.74436383436782
95527343.75,-92.63246483391444
95532226.5625,-92.67804911007542
95537109.375,-92.70119431721321
95541992.1875,-92.64153485756293
95546875.0,-92.63065345417093
95551757.8125,-92.60570298461971
95556640.625,-92.56413532943691
95561523.4375,-92.54534593932394
95566406.25,-92.38719472778547
95571289.0625,-92.49772994331482
95576171.875,-92.34577497758124
95581054.6875,-92.28919172994321
95585937.5,-92.30827600931318
95590820.3125,-92.22167755319245
95595703.125,-92.11648837151463
95600585.9375,-92.09206315850844
95605468.75,-92.22675061341357
95610351.5625,-92.310301390055
95615234.375,-92.22259911031173
95620117.1875,-92.28111411359063
95625000.0,-92.32151973605397
95629882.8125,-92.17042423268316
95634765.625,-91.99778011304241
95639648.4375,-91.88903718715852
95644531.25,-91.74960049253212
95649414.0625,-91.51485094251095
95654296.875,-91.26857468405831
95659179.6875,-91.05316284414815
95664062.5,-90.58244270862139
95668945.3125,-89.98142359717474
95673828.125,-89.61700427505642
95678710.9375,-89.30672508036889
95683593.75,-89.03923074697025
95688476.5625,-88.47137867110195
95693359.375,-87.26906724353509
95698242.1875,-84.425081255912
95703125.0,-84.22965051342342
95708007.8125,-86.19486556871593
95712890.625,-87.86905103263683
95717773.4375,-88.34142758933407
95722656.25,-88.86934970022449
95727539.0625,-89.51650790869246
95732421.875,-90.44236896673698
95737304.6875,-91.02686357608223
95742187.5,-91.31182022898236
95747070.3125,-91.67528733537631
95751953.125,-91.89772033383034
95756835.9375,-92.04981691186543
95761718.75,-92.36713833582328
95766601.5625,-92.5987852886683
95771484.375,-92.6846144334558
95776367.1875,-92.7861479005372
95781250.0,-92.87820799779212
95786132.8125,-92.88692578237769
95791015.625,-92.94944463920271
95795898.4375,-92.83508552103268
95800781.25,-92.9040619983453
95805664.0625,-92.91787515795843
95810546.875,-93.08429970398396
95815429.6875,-92.9390188474049
95820312.5,-93.01911492494341
95825195.3125,-92.8331016074597
95830078.125,-92.86432913757676
95834960.9375,-92.87147797879487
95839843.75,-92.9503377197295
95844726.5625,-92.88765932539582
95849609.375,-92.83937519614261
95854492.1875,-92.75804424383006
95859375.0,-92.76241030660017
95864257.8125,-92.75599557622621
95869140.625,-92.78785813142375
95874023.4375,-92.86249007020987
95878906.25,-92.81513613787644
95883789.0625,-92.78719326255074
95888671.875,-92.75676331774824
95893554.6875,-92.80765746296385
95898437.5,-92.73781818462152
95903320.3125,-92.75547453503674
95908203.125,-92.74953285168544
95913085.9375,-92.78459066218548
95917968.75,-92.78748903813266
95922851.5625,-92.80987781151859
95927734.375,-92.85030880578114
95932617.1875,-92.8644674269396
95937500.0,-92.89397161103739
95942382.8125,-92.95018003618645
95947265.625,-92.86660038562337
95952148.4375,-92.9901705847985
95957031.25,-93.0823799290892
95961914.0625,-92.99505973861363
95966796.875,-92.98745414079471
95971679.6875,-92.96130073694638
95976562.5,-92.87199644902762
95981445.3125,-92.90787910518782
95986328.125,-92.97617417757809
95991210.9375,-93.00269808655497
95996093.75,-92.90219482058194
96000976.5625,-92.98488646774618
96005859.375,-92.9217650862866
96010742.1875,-93.00162034149861
96015625.0,-92.85133496393124
96020507.8125,-92.98042706961124
96025390.625,-92.98581074200195
96030273.4375,-92.9676493280856
96035156.25,-92.9069414642467
96040039.0625,-92.99868986887961
96044921.875,-92.85353573090106
96049804.6875,-92.89710419402707
96054687.5,-92.95229353353156
96059570.3125,-92.85939847476979
96064453.125,-92.9298873801618
96069335.9375,-92.86851452831428
96074218.75,-92.90454997177042
96079101.5625,-93.0479084070968
96083984.375,-93.03003702177898
96088867.1875,-92.93389040881831
96093750.0,-92.9185192905974
96098632.8125,-92.97934382764407
96103515.625,-92.668769320353
96108398.4375,-92.85791554704704
96113281.25,-92.96388831937483
96118164.0625,-92.87281490023611
96123046.875,-92.90230589486188
96127929.6875,-92.89770771263608
