Frecuencia_Hz,PSD_dBm
76000000.0,-89.77873475495667
76004882.8125,-89.6858654096599
76009765.625,-89.82112342526312
76014648.4375,-89.79954274669512
76019531.25,-89.62489557424135
76024414.0625,-89.7030320869878
76029296.875,-89.66920542392137
76034179.6875,-89.71620855728989
76039062.5,-89.63189632635701
76043945.3125,-89.71808827011589
76048828.125,-89.65195253778407
76053710.9375,-89.70638483725853
76058593.75,-89.71066973653046
76063476.5625,-89.69771427723026
76068359.375,-89.65152052790472
76073242.1875,-89.66753635152415
76078125.0,-89.71464330565493
76083007.8125,-89.61910783895885
76087890.625,-89.64939620175679
76092773.4375,-89.69781552535161
76097656.25,-89.6089586567096
76102539.0625,-89.61506485775251
76107421.875,-89.7518981380818
76112304.6875,-89.59329104914912
76117187.5,-89.76069978713355
76122070.3125,-89.77923827739266
76126953.125,-89.71913782014997
76131835.9375,-89.69675783803757
76136718.75,-89.61121817607267
76141601.5625,-89.64889486742709
76146484.375,-89.73344147998662
76151367.1875,-89.69747171297965
76156250.0,-89.64118749507011
76161132.8125,-89.68536092979707
76166015.625,-89.73548040189613
76170898.4375,-89.73369373824735
76175781.25,-89.72317767218652
76180664.0625,-89.73562377438421
76185546.875,-89.65996391689589
76190429.6875,-89.71429287801382
76195312.5,-89.62946869182218
76200195.3125,-89.69444782324874
76205078.125,-89.63441334936209
76209960.9375,-89.53156372457363
76214843.75,-89.61809616368467
76219726.5625,-89.50579664783945
76224609.375,-89.3793841540699
76229492.1875,-89.30929029147492
76234375.0,-89.35282677933657
76239257.8125,-89.30381173894588
76244140.625,-89.3525254845382
76249023.4375,-89.35274252292348
76253906.25,-89.15322759447261
76258789.0625,-89.12533682896196
76263671.875,-88.81314728579412
76268554.6875,-88.59267783648451
76273437.5,-88.5324706185751
76278320.3125,-88.29144015151326
76283203.125,-87.6555235604026
76288085.9375,-87.40961052302077
76292968.75,-87.4939747624509
76297851.5625,-87.79148811679187
76302734.375,-88.38299553579193
76307617.1875,-88.80942997798797
76312500.0,-89.0731379047159
76317382.8125,-89.45880007265433
76322265.625,-89.54090864214282
76327148.4375,-89.52468027043457
76332031.25,-89.36924222727822
76336914.0625,-89.43923337571252
76341796.875,-89.42121998882286
76346679.6875,-89.48033998108147
76351562.5,-89.55799983902156
76356445.3125,-89.67993748778855
76361328.125,-89.59966759980276
76366210.9375,-89.7041268124974
76371093.75,-89.60829114104672
76375976.5625,-89.73309180945282
76380859.375,-89.75868896352017
76385742.1875,-89.64978858108157
76390625.0,-89.59824395426838
76395507.8125,-89.76446485753587
76400390.625,-89.65525998312873
76405273.4375,-89.62348247186239
76410156.25,-89.68316549003077
76415039.0625,-89.77039176356774
76419921.875,-89.76374341000715
76424804.6875,-89.67128417776524
76429687.5,-89.80226607445064
76434570.3125,-89.6940340314766
76439453.125,-89.76230144317097
76444335.9375,-89.77478111219102
76449218.75,-89.73842383909866
76454101.5625,-89.59351233233372
76458984.375,-89.73646877142258
76463867.1875,-89.75647484681764
76468750.0,-89.62813179220228
76473632.8125,-89.71720755607694
76478515.625,-89.74083468097857
76483398.4375,-89.68742978928452
76488281.25,-89.69416281213563
76493164.0625,-89.63827732794681
76498046.875,-89.76808773086952
76502929.6875,-89.66633328027496
76507812.5,-89.68499715392363
76512695.3125,-89.65172089902688
76517578.125,-89.60964637595109
76522460.9375,-89.71351340567179
76527343.75,-89.77033430687092
76532226.5625,-89.69780782286821
76537109.375,-89.72550184283043
76541992.1875,-89.73768364505386
76546875.0,-89.69028292222612
76551757.8125,-89.75539131992986
76556640.625,-89.72775395968515
76561523.4375,-89.61982485151165
76566406.25,-89.4659411726457
76571289.0625,-89.57833375343648
76576171.875,-89.67365043797895
76581054.6875,-89.54215915267764
76585937.5,-89.70615801711705
76590820.3125,-89.6329781186833
76595703.125,-89.65378031685557
76600585.9375,-89.72306178876462
76605468.75,-89.73744172559273
76610351.5625,-89.71063322290152
76615234.375,-89.70456565545254
76620117.1875,-89.68118610065542
76625000.0,-89.86633542977893
76629882.8125,-89.63573028518334
76634765.625,-89.62901953947377
76639648.4375,-89.76633081079021
76644531.25,-89.68502262998737
76649414.0625,-89.62860449131037
76654296.875,-89.58860253099917
76659179.6875,-89.66244337422904
76664062.5,-89.76671043697164
76668945.3125,-89.80803209565312
76673828.125,-89.64216524379106
76678710.9375,-89.65822089727314
76683593.75,-89.7281089135638
76688476.5625,-89.74778595146904
76693359.375,-89.69356635447286
76698242.1875,-89.61224252065387
76703125.0,-89.59208948891859
76708007.8125,-89.62809651775206
76712890.625,-89.70200776080557
76717773.4375,-89.78675886221214
76722656.25,-89.80465970214925
76727539.0625,-89.76250903365445
76732421.875,-89.73920827372811
76737304.6875,-89.70670404992003
76742187.5,-89.74573514210132
76747070.3125,-89.71785810685253
76751953.125,-89.75765245651394
76756835.9375,-89.71690478635256
76761718.75,-89.73277258584619
76766601.5625,-89.78099806974365
76771484.375,-89.74680580689474
76776367.1875,-89.69716864759314
76781250.0,-89.67801801938461
76786132.8125,-89.74469933353686
76791015.625,-89.76624301698061
76795898.4375,-89.74646919461537
76800781.25,-89.6468096254109
76805664.0625,-89.66243036887658
76810546.875,-89.68760305808144
76815429.6875,-89.67369589334075
76820312.5,-89.73211571747115
76825195.3125,-89.65736236119278
76830078.125,-89.69344347049378
76834960.9375,-89.70623266250195
76839843.75,-89.51685096453528
76844726.5625,-89.55680413601002
76849609.375,-89.6051318552584
76854492.1875,-89.69422891349092
76859375.0,-89.68598946703631
76864257.8125,-89.65339836581683
76869140.625,-89.62163662962323
76874023.4375,-89.54187486422393
76878906.25,-89.76445225941467
76883789.0625,-89.65945259251458
76888671.875,-89.75952203168688
76893554.6875,-89.62289849496142
76898437.5,-89.71500848039784
76903320.3125,-89.67727981817151
76908203.125,-89.5988531536508
76913085.9375,-89.71512338399793
76917968.75,-89.65858942100346
76922851.5625,-89.72315115693297
