# Timestamp: 20251218_072354
# ip: 192.168.46.113
# ruta_salida: Calibración/extraccion/Samples
# frecuencia_central_hz: 101500000
# span_hz: 20000000
# puntos: 4096
# rbw_hz: 47000
Frecuencia_Hz,Amplitud_dBm
91500000.00,-93.803841
91504884.00,-94.605855
91509768.01,-94.662268
91514652.01,-93.416400
91519536.02,-93.539923
91524420.02,-92.898318
91529304.03,-93.857065
91534188.03,-94.190255
91539072.04,-93.695797
91543956.04,-94.332425
91548840.05,-93.534546
91553724.05,-93.918109
91558608.06,-93.946254
91563492.06,-93.982062
91568376.07,-94.104827
91573260.07,-93.126449
91578144.08,-91.839936
91583028.08,-91.343464
91587912.09,-91.335467
91592796.09,-91.556717
91597680.10,-90.501642
91602564.10,-90.119247
91607448.11,-89.645287
91612332.11,-89.184904
91617216.12,-88.213076
91622100.12,-87.129080
91626984.13,-86.974378
91631868.13,-87.079257
91636752.14,-85.572713
91641636.14,-82.916685
91646520.15,-81.633174
91651404.15,-80.595560
91656288.16,-78.857933
91661172.16,-77.650626
91666056.17,-76.700038
91670940.17,-76.108859
91675824.18,-75.314794
91680708.18,-74.570025
91685592.19,-75.142879
91690476.19,-74.438577
91695360.20,-74.827172
91700244.20,-75.062406
91705128.21,-75.643294
91710012.21,-76.270953
91714896.21,-77.667820
91719780.22,-77.898852
91724664.22,-78.233031
91729548.23,-79.599811
91734432.23,-80.927571
91739316.24,-82.674293
91744200.24,-83.736965
91749084.25,-84.729152
91753968.25,-85.713836
91758852.26,-86.198833
91763736.26,-88.086541
91768620.27,-90.009683
91773504.27,-90.798490
91778388.28,-91.468841
91783272.28,-91.871879
91788156.29,-91.785454
91793040.29,-92.883420
91797924.30,-93.514521
91802808.30,-93.155026
91807692.31,-92.881075
91812576.31,-92.608130
91817460.32,-94.085067
91822344.32,-93.632064
91827228.33,-94.000161
91832112.33,-93.874345
91836996.34,-94.158134
91841880.34,-93.488508
91846764.35,-93.714066
91851648.35,-93.833529
91856532.36,-94.606445
91861416.36,-94.174242
91866300.37,-93.700830
91871184.37,-93.488340
91876068.38,-93.424461
91880952.38,-93.389380
91885836.39,-94.019087
91890720.39,-93.887550
91895604.40,-94.166624
91900488.40,-93.506816
91905372.41,-93.589165
91910256.41,-93.918065
91915140.42,-94.648165
91920024.42,-95.189416
91924908.42,-95.175027
91929792.43,-94.053864
91934676.43,-94.312739
91939560.44,-93.830534
91944444.44,-94.226104
91949328.45,-93.868603
91954212.45,-94.825567
91959096.46,-94.856131
91963980.46,-93.741553
91968864.47,-93.085736
91973748.47,-93.238463
91978632.48,-93.744647
91983516.48,-94.768299
91988400.49,-94.625603
91993284.49,-94.010606
91998168.50,-94.269676
92003052.50,-94.196369
92007936.51,-92.962737
92012820.51,-94.227835
92017704.52,-95.188612
