# Freq,Power
1.000000000000000000e+08,-1.021721092172278986e+02
1.000200400801603198e+08,-1.034381482802837979e+02
1.000400801603206396e+08,-1.029760929356987305e+02
1.000601202404809594e+08,-1.044015147229429346e+02
1.000801603206412792e+08,-1.015324078383952582e+02
1.001002004008015990e+08,-1.018533772823092391e+02
1.001202404809619188e+08,-1.029374342477531883e+02
1.001402805611222386e+08,-1.039878431129670702e+02
1.001603206412825584e+08,-1.067672929418035608e+02
1.001803607214428931e+08,-1.033896791968029447e+02
1.002004008016032130e+08,-1.041354543583274079e+02
1.002204408817635328e+08,-1.043780271724149742e+02
1.002404809619238526e+08,-1.041771847262644712e+02
1.002605210420841724e+08,-1.003167098112392353e+02
1.002805611222444922e+08,-1.031004412120308729e+02
1.003006012024048120e+08,-1.026714406363685725e+02
1.003206412825651318e+08,-1.050627709193773569e+02
1.003406813627254516e+08,-1.024279434599743723e+02
1.003607214428857714e+08,-1.040002776537938161e+02
1.003807615230460912e+08,-1.020443574528951416e+02
1.004008016032064110e+08,-1.039575636810193089e+02
1.004208416833667308e+08,-1.038915824597437592e+02
1.004408817635270506e+08,-1.028322341188308684e+02
1.004609218436873704e+08,-1.032540328109205774e+02
1.004809619238476902e+08,-1.041500258161319721e+02
1.005010020040080100e+08,-1.023886922158692698e+02
1.005210420841683298e+08,-1.022165452377432899e+02
1.005410821643286645e+08,-1.025178183598738286e+02
1.005611222444889843e+08,-1.015035453720931571e+02
1.005811623246493042e+08,-1.045511765882666566e+02
1.006012024048096240e+08,-1.038479272580693475e+02
1.006212424849699438e+08,-1.030810987329349331e+02
1.006412825651302636e+08,-1.031674467322289672e+02
1.006613226452905834e+08,-1.034267939214373229e+02
1.006813627254509032e+08,-1.029068896449568200e+02
1.007014028056112230e+08,-1.035888324946791670e+02
1.007214428857715428e+08,-1.038375761349440296e+02
1.007414829659318626e+08,-1.037291544445462677e+02
1.007615230460921824e+08,-1.021810992400766764e+02
1.007815631262525022e+08,-1.030950339261330839e+02
1.008016032064128220e+08,-1.034019126950553300e+02
1.008216432865731418e+08,-1.029812075522876853e+02
1.008416833667334616e+08,-1.020704637154007628e+02
1.008617234468937814e+08,-1.024512148356027410e+02
1.008817635270541012e+08,-1.047721838222202280e+02
1.009018036072144359e+08,-1.017648216394135403e+02
1.009218436873747557e+08,-1.047986942690641285e+02
1.009418837675350755e+08,-1.034084819273024038e+02
1.009619238476953954e+08,-1.042803702546250406e+02
1.009819639278557152e+08,-1.039759432415282987e+02
1.010020040080160350e+08,-1.030169717763356516e+02
1.010220440881763548e+08,-1.028964406702842069e+02
1.010420841683366746e+08,-1.045739408263187187e+02
1.010621242484969944e+08,-1.034897985684730628e+02
1.010821643286573142e+08,-1.026900460933379549e+02
1.011022044088176340e+08,-1.030797014160355189e+02
1.011222444889779538e+08,-1.015574610895100562e+02
1.011422845691382736e+08,-1.018954778328684938e+02
1.011623246492985934e+08,-1.030062122623255050e+02
1.011823647294589132e+08,-1.033374752234958152e+02
1.012024048096192330e+08,-1.037869968958959532e+02
1.012224448897795528e+08,-1.038114970723574118e+02
1.012424849699398726e+08,-1.030672312774822217e+02
1.012625250501002073e+08,-1.029223575524643906e+02
1.012825651302605271e+08,-1.011811562846565096e+02
1.013026052104208469e+08,-1.041325518480556411e+02
1.013226452905811667e+08,-1.027286619404286796e+02
1.013426853707414865e+08,-1.012462817350228477e+02
1.013627254509018064e+08,-1.029631712830932173e+02
1.013827655310621262e+08,-1.040660862762143921e+02
1.014028056112224460e+08,-1.024575057746247353e+02
1.014228456913827658e+08,-1.020038796186550911e+02
1.014428857715430856e+08,-1.029467047574989493e+02
1.014629258517034054e+08,-1.030615515187708695e+02
1.014829659318637252e+08,-1.024494289395644842e+02
1.015030060120240450e+08,-1.015441419456475245e+02
1.015230460921843648e+08,-1.024294037616908497e+02
1.015430861723446846e+08,-1.032874089042607721e+02
1.015631262525050044e+08,-1.027245147195188224e+02
1.015831663326653242e+08,-1.026397171435817768e+02
