Frecuencia_Hz,PSD_dBm
91000000.0,-90.82327511509115
91004882.8125,-91.0344195125572
91009765.625,-90.97569728341279
91014648.4375,-90.81515986728945
91019531.25,-90.97831503740463
91024414.0625,-90.95692963029694
91029296.875,-91.03444602814417
91034179.6875,-90.9849213030185
91039062.5,-91.10281395403834
91043945.3125,-91.08343537146317
91048828.125,-91.1333234910586
91053710.9375,-90.93241386926621
91058593.75,-91.15731113962852
91063476.5625,-91.03390726799859
91068359.375,-91.09175596492935
91073242.1875,-91.06263926240538
91078125.0,-91.04436914527011
91083007.8125,-91.20325890956374
91087890.625,-91.08328159942948
91092773.4375,-91.07319835099753
91097656.25,-90.97205789112729
91102539.0625,-91.02094003208353
91107421.875,-91.08719782007933
91112304.6875,-91.14998094390796
91117187.5,-91.19283224523602
91122070.3125,-91.053872237046
91126953.125,-91.03764342227518
91131835.9375,-91.1536034042195
91136718.75,-91.01583703227084
91141601.5625,-91.11633610126844
91146484.375,-91.22631683454009
91151367.1875,-91.14795327457239
91156250.0,-91.13695919720067
91161132.8125,-91.07766152653963
91166015.625,-91.11582409066344
91170898.4375,-91.18659314845496
91175781.25,-91.07800548404657
91180664.0625,-91.2170947874792
91185546.875,-91.23931672911016
91190429.6875,-91.1847086583461
91195312.5,-91.25861840256266
91200195.3125,-91.25342694398574
91205078.125,-91.20049201516002
91209960.9375,-91.11203978231845
91214843.75,-91.21136054567077
91219726.5625,-91.19692714207613
91224609.375,-91.05798815935634
91229492.1875,-91.13768185740736
91234375.0,-91.23363374818561
91239257.8125,-91.17490555185009
91244140.625,-91.09983336504786
91249023.4375,-91.20431061726731
91253906.25,-91.20782232720723
91258789.0625,-91.1091295708639
91263671.875,-91.17393961951399
91268554.6875,-91.2467542021596
91273437.5,-91.23855517552877
91278320.3125,-91.2186681954446
91283203.125,-91.21694524409142
91288085.9375,-91.25075266858471
91292968.75,-91.17558885996087
91297851.5625,-91.36840694949441
91302734.375,-91.23078389871944
91307617.1875,-91.22946420271879
91312500.0,-91.20704843160308
91317382.8125,-91.33105007757709
91322265.625,-91.26333904677583
91327148.4375,-91.14770558001317
91332031.25,-91.09354944163795
91336914.0625,-91.29497394946375
91341796.875,-91.21335005958673
91346679.6875,-91.27210137465477
91351562.5,-91.06541531061714
91356445.3125,-91.24880880735475
91361328.125,-91.16681754203108
91366210.9375,-91.16773393528823
91371093.75,-91.22230454859539
91375976.5625,-91.12665037944711
91380859.375,-91.14104701244574
91385742.1875,-91.33788059069809
91390625.0,-91.2444379583007
91395507.8125,-91.26736631915077
91400390.625,-91.24091643229067
91405273.4375,-91.22644475712758
91410156.25,-91.15768038583607
91415039.0625,-91.16701712083693
91419921.875,-91.19039072344987
91424804.6875,-91.30055688762477
91429687.5,-91.09684018522228
91434570.3125,-91.14492213462353
91439453.125,-91.22457081153465
91444335.9375,-91.28809857175273
91449218.75,-91.09522700993739
91454101.5625,-91.04960454334798
91458984.375,-91.28722661029624
91463867.1875,-91.25316878562364
91468750.0,-91.27667606426542
91473632.8125,-91.06923326813043
91478515.625,-91.19399444532857
91483398.4375,-91.13316363938372
91488281.25,-91.15208053482533
91493164.0625,-91.074283540648
91498046.875,-91.09588828171664
91502929.6875,-91.22223175090369
91507812.5,-91.18662158906218
91512695.3125,-91.12872301006763
91517578.125,-91.10323695210872
91522460.9375,-91.03387965544923
91527343.75,-91.11493980066402
91532226.5625,-91.13368842494617
91537109.375,-91.03660096445631
91541992.1875,-91.03550455378027
91546875.0,-91.08099692527185
91551757.8125,-91.12523263952048
91556640.625,-91.06911308324251
91561523.4375,-90.85651340917221
91566406.25,-90.98970431757635
91571289.0625,-90.96903551950928
91576171.875,-90.9133090285716
91581054.6875,-90.95223926627463
91585937.5,-90.92785662961666
91590820.3125,-91.00080369775182
91595703.125,-90.91354116916253
91600585.9375,-90.72712940802577
91605468.75,-90.67103972561895
91610351.5625,-90.5149668847508
91615234.375,-90.50567037807855
91620117.1875,-90.09582014612684
91625000.0,-89.85992870375662
91629882.8125,-89.3628964719378
91634765.625,-88.69129746889067
91639648.4375,-88.44540185585313
91644531.25,-88.28433239923584
91649414.0625,-87.86317847358535
91654296.875,-87.42487472028103
91659179.6875,-87.06270663637116
91664062.5,-87.22148745680298
91668945.3125,-87.30371829412948
91673828.125,-87.02104330917058
91678710.9375,-86.00787555487005
91683593.75,-84.38928522051239
91688476.5625,-83.14714404873908
91693359.375,-82.54791546645268
91698242.1875,-82.12523815832569
91703125.0,-82.11236037519834
91708007.8125,-81.93671324197325
91712890.625,-82.49506405455458
91717773.4375,-83.932678034453
91722656.25,-85.87516952091835
91727539.0625,-88.07420508005114
91732421.875,-89.91529345501169
91737304.6875,-90.54994681686222
91742187.5,-90.56403237602953
