# Freq,Power
1.000000000000000000e+08,-1.023247934485309827e+02
1.000200400801603198e+08,-1.022921296987393873e+02
1.000400801603206396e+08,-1.046904540256273179e+02
1.000601202404809594e+08,-1.032675342138995092e+02
1.000801603206412792e+08,-1.025741565069537842e+02
1.001002004008015990e+08,-1.028844744355522209e+02
1.001202404809619188e+08,-1.030237295716989792e+02
1.001402805611222386e+08,-1.015501132064009369e+02
1.001603206412825584e+08,-1.046550100098059062e+02
1.001803607214428931e+08,-1.031920450713702451e+02
1.002004008016032130e+08,-1.008932711075896407e+02
1.002204408817635328e+08,-1.037226789282217965e+02
1.002404809619238526e+08,-1.029961646333740930e+02
1.002605210420841724e+08,-1.030307042616467896e+02
1.002805611222444922e+08,-1.015473831840158851e+02
1.003006012024048120e+08,-1.020687425239153754e+02
1.003206412825651318e+08,-1.050394519695722693e+02
1.003406813627254516e+08,-1.033320045499443296e+02
1.003607214428857714e+08,-1.028992031735542128e+02
1.003807615230460912e+08,-1.038681601979062208e+02
1.004008016032064110e+08,-1.016126803706143420e+02
1.004208416833667308e+08,-1.024486603283819619e+02
1.004408817635270506e+08,-1.018692688952259431e+02
1.004609218436873704e+08,-1.022589359049827635e+02
1.004809619238476902e+08,-1.034906627151458594e+02
1.005010020040080100e+08,-1.035371283500997777e+02
1.005210420841683298e+08,-1.023317231201420583e+02
1.005410821643286645e+08,-1.004669883679846834e+02
1.005611222444889843e+08,-1.030212635707525521e+02
1.005811623246493042e+08,-1.047163812317752019e+02
1.006012024048096240e+08,-1.035414066486254967e+02
1.006212424849699438e+08,-1.050103281800252688e+02
1.006412825651302636e+08,-1.033069357252000060e+02
1.006613226452905834e+08,-1.024965965302186390e+02
1.006813627254509032e+08,-1.001917969070140373e+02
1.007014028056112230e+08,-1.035252832424356342e+02
1.007214428857715428e+08,-1.017572274649894553e+02
1.007414829659318626e+08,-1.026944180571924647e+02
1.007615230460921824e+08,-1.032823299829271235e+02
1.007815631262525022e+08,-1.030570066350871485e+02
