# Timestamp: 20251218_072121
# ip: 192.168.46.113
# ruta_salida: Calibración/extraccion/Samples
# frecuencia_central_hz: 86000000
# span_hz: 20000000
# puntos: 4096
# rbw_hz: 47000
Frecuencia_Hz,Amplitud_dBm
77250305.25,-93.180198
77255189.26,-93.610439
77260073.26,-93.393186
77264957.26,-93.351588
77269841.27,-93.190761
77274725.27,-93.113972
77279609.28,-94.152039
77284493.28,-93.675655
77289377.29,-93.870646
77294261.29,-94.837445
77299145.30,-94.080551
77304029.30,-93.723132
77308913.31,-94.537395
77313797.31,-93.942811
77318681.32,-93.213859
77323565.32,-93.709498
77328449.33,-93.889455
77333333.33,-93.963826
77338217.34,-93.941807
77343101.34,-92.971580
77347985.35,-92.868503
77352869.35,-93.165859
77357753.36,-93.485844
77362637.36,-93.592216
77367521.37,-94.016674
77372405.37,-94.092491
77377289.38,-93.786759
77382173.38,-93.999815
77387057.39,-93.281404
77391941.39,-92.580361
77396825.40,-92.958445
77401709.40,-92.875419
77406593.41,-92.573415
77411477.41,-93.051040
77416361.42,-92.860372
77421245.42,-93.272565
77426129.43,-93.242325
77431013.43,-93.574331
77435897.44,-93.715736
77440781.44,-94.074064
77445665.45,-93.629855
77450549.45,-93.490491
77455433.46,-93.955416
77460317.46,-94.040657
77465201.47,-93.227617
77470085.47,-92.508247
77474969.47,-92.741547
77479853.48,-92.964569
77484737.48,-93.124510
77489621.49,-92.953248
77494505.49,-92.405577
77499389.50,-92.969696
77504273.50,-93.059833
77509157.51,-93.318480
77514041.51,-93.760898
77518925.52,-93.905979
77523809.52,-93.194623
77528693.53,-93.762244
77533577.53,-93.603944
77538461.54,-93.923424
77543345.54,-93.028123
77548229.55,-92.488465
77553113.55,-93.017882
77557997.56,-93.875785
77562881.56,-93.448212
77567765.57,-93.110513
77572649.57,-93.000590
77577533.58,-93.034300
77582417.58,-93.178528
77587301.59,-92.584535
77592185.59,-92.809961
77597069.60,-93.774391
77601953.60,-93.630079
77606837.61,-93.168850
77611721.61,-93.431626
77616605.62,-93.627942
77621489.62,-93.220769
77626373.63,-93.230996
77631257.63,-93.121700
77636141.64,-93.318034
77641025.64,-93.935617
77645909.65,-93.825937
77650793.65,-95.340479
77655677.66,-94.545730
77660561.66,-93.733368
77665445.67,-95.320833
77670329.67,-94.158925
77675213.68,-92.788230
77680097.68,-92.734698
77684981.68,-93.441684
77689865.69,-93.382055
77694749.69,-93.329480
77699633.70,-92.540445
77704517.70,-93.028401
77709401.71,-93.095298
77714285.71,-93.900921
77719169.72,-93.230730
77724053.72,-93.680692
77728937.73,-93.750864
77733821.73,-93.990034
77738705.74,-93.458129
77743589.74,-93.682405
77748473.75,-94.233424
77753357.75,-93.598510
77758241.76,-94.031643
77763125.76,-93.338910
77768009.77,-92.921493
77772893.77,-92.758123
77777777.78,-93.275433
77782661.78,-94.252998
77787545.79,-93.874082
77792429.79,-92.458441
77797313.80,-93.132067
77802197.80,-93.660996
77807081.81,-93.407422
77811965.81,-94.245709
77816849.82,-93.569281
77821733.82,-93.951040
77826617.83,-93.743631
77831501.83,-93.397517
77836385.84,-92.977001
77841269.84,-93.104225
77846153.85,-92.428722
77851037.85,-92.263174
77855921.86,-91.731216
77860805.86,-92.761671
77865689.87,-93.062755
77870573.87,-92.675911
77875457.88,-92.999695
77880341.88,-92.992101
77885225.89,-92.653392
77890109.89,-93.046282
77894993.89,-93.590089
77899877.90,-93.850531
77904761.90,-94.214800
77909645.91,-93.261470
77914529.91,-92.672791
77919413.92,-93.083241
77924297.92,-93.498065
77929181.93,-93.592766
77934065.93,-93.004383
77938949.94,-93.799570
77943833.94,-93.669892
77948717.95,-93.129555
77953601.95,-93.817083
77958485.96,-93.432609
77963369.96,-93.419424
77968253.97,-92.481023
77973137.97,-93.207329
77978021.98,-94.133677
77982905.98,-93.616806
77987789.99,-93.318844
77992673.99,-93.717693
77997558.00,-93.466122
78002442.00,-93.162550
78007326.01,-92.768268
78012210.01,-93.063812
78017094.02,-93.151074
78021978.02,-93.487470
78026862.03,-93.965078
78031746.03,-93.343909
78036630.04,-93.542263
78041514.04,-94.712640
78046398.05,-94.633483
78051282.05,-94.606970
78056166.06,-92.349490
78061050.06,-93.682560
78065934.07,-93.008903
78070818.07,-92.729563
78075702.08,-93.659395
78080586.08,-93.412527
78085470.09,-92.700335
78090354.09,-92.816272
78095238.10,-92.203239
78100122.10,-92.856203
78105006.11,-93.325903
78109890.11,-93.257841
78114774.11,-93.513910
78119658.12,-93.406687
78124542.12,-93.516021
78129426.13,-93.062265
78134310.13,-94.152351
78139194.14,-93.535589
78144078.14,-92.606213
78148962.15,-93.538606
78153846.15,-93.401071
78158730.16,-92.982052
78163614.16,-92.957909
78168498.17,-92.679214
78173382.17,-93.583995
78178266.18,-93.930146
78183150.18,-94.263336
78188034.19,-94.229368
78192918.19,-93.287762
78197802.20,-92.771517
78202686.20,-93.389763
78207570.21,-93.325117
78212454.21,-93.079486
78217338.22,-93.286376
78222222.22,-92.378567
78227106.23,-93.741757
78231990.23,-93.352388
78236874.24,-93.671729
78241758.24,-93.916195
78246642.25,-93.275934
78251526.25,-93.384971
78256410.26,-93.679679
78261294.26,-93.742761
78266178.27,-93.501311
78271062.27,-93.416700
78275946.28,-94.061025
78280830.28,-93.966223
78285714.29,-93.604483
78290598.29,-93.295180
78295482.30,-94.220013
78300366.30,-94.093034
78305250.31,-94.200870
78310134.31,-93.248481
78315018.32,-94.086089
78319902.32,-94.102692
78324786.32,-93.273032
78329670.33,-93.028150
78334554.33,-94.103150
78339438.34,-93.532293
78344322.34,-93.822488
78349206.35,-93.169857
78354090.35,-93.156775
78358974.36,-94.251478
78363858.36,-93.836953
78368742.37,-93.149603
78373626.37,-93.271096
78378510.38,-94.974670
78383394.38,-94.424734
78388278.39,-94.134664
78393162.39,-93.635213
78398046.40,-93.435295
78402930.40,-92.826233
78407814.41,-93.396031
78412698.41,-92.278285
78417582.42,-91.734290
78422466.42,-93.014541
78427350.43,-93.473177
78432234.43,-93.338011
78437118.44,-91.709681
78442002.44,-92.273016
78446886.45,-93.433446
78451770.45,-93.403031
78456654.46,-92.395541
78461538.46,-92.270740
78466422.47,-93.179703
78471306.47,-93.052184
78476190.48,-93.036351
78481074.48,-92.617750
78485958.49,-93.205352
78490842.49,-93.214813
78495726.50,-93.952617
78500610.50,-93.389494
78505494.51,-93.831999
78510378.51,-93.226213
78515262.52,-93.559072
78520146.52,-93.459758
78525030.53,-93.346194
78529914.53,-94.060079
78534798.53,-93.588084
78539682.54,-92.969719
78544566.54,-92.721162
78549450.55,-93.574013
78554334.55,-93.472782
78559218.56,-93.895567
78564102.56,-93.915428
78568986.57,-93.927764
78573870.57,-93.770195
78578754.58,-92.674259
78583638.58,-92.461955
78588522.59,-93.193470
78593406.59,-92.831590
78598290.60,-92.567232
78603174.60,-93.645664
78608058.61,-93.815709
78612942.61,-93.593614
78617826.62,-93.044654
78622710.62,-93.075351
78627594.63,-93.519459
78632478.63,-93.448367
78637362.64,-92.899807
78642246.64,-92.497320
78647130.65,-92.658550
78652014.65,-93.103722
78656898.66,-93.688972
78661782.66,-94.083744
78666666.67,-92.962514
78671550.67,-91.991868
78676434.68,-93.472195
78681318.68,-92.796360
78686202.69,-93.484653
78691086.69,-93.564983
78695970.70,-93.641217
78700854.70,-92.570646
78705738.71,-93.551103
78710622.71,-93.147274
78715506.72,-93.453828
78720390.72,-94.385856
78725274.73,-93.529333
78730158.73,-93.351905
78735042.74,-92.347672
78739926.74,-92.835802
78744810.74,-92.527282
78749694.75,-92.409503
78754578.75,-93.387033
78759462.76,-92.875388
78764346.76,-92.829155
78769230.77,-93.114316
78774114.77,-94.269869
78778998.78,-93.953614
78783882.78,-93.520868
78788766.79,-93.311490
78793650.79,-93.453035
78798534.80,-93.810962
78803418.80,-93.762099
78808302.81,-93.104834
78813186.81,-93.178717
78818070.82,-93.505932
78822954.82,-93.509052
78827838.83,-93.051168
78832722.83,-93.376205
78837606.84,-93.927659
78842490.84,-92.809739
78847374.85,-93.086154
78852258.85,-93.391611
78857142.86,-93.453282
78862026.86,-93.385796
78866910.87,-92.792047
78871794.87,-94.190688
78876678.88,-94.188112
78881562.88,-92.589449
78886446.89,-93.076203
78891330.89,-93.800976
78896214.90,-93.073802
78901098.90,-93.690724
78905982.91,-94.800982
78910866.91,-93.969894
78915750.92,-93.624547
78920634.92,-93.598574
78925518.93,-93.578559
78930402.93,-93.913961
78935286.94,-92.759980
78940170.94,-93.222920
78945054.95,-92.381797
78949938.95,-93.572644
78954822.95,-93.916652
78959706.96,-93.046750
78964590.96,-92.666092
78969474.97,-92.758058
78974358.97,-93.176435
78979242.98,-93.004023
78984126.98,-93.699530
78989010.99,-93.850621
78993894.99,-93.065350
78998779.00,-93.658022
79003663.00,-93.216773
79008547.01,-93.330288
79013431.01,-92.457216
79018315.02,-92.752098
79023199.02,-92.689995
79028083.03,-92.811402
79032967.03,-92.517498
79037851.04,-93.355227
79042735.04,-93.398606
79047619.05,-92.908406
79052503.05,-93.147751
79057387.06,-93.759847
79062271.06,-92.904735
79067155.07,-92.054780
79072039.07,-92.683408
79076923.08,-93.354073
79081807.08,-93.237181
79086691.09,-93.152483
79091575.09,-94.108516
79096459.10,-93.490709
79101343.10,-93.591873
79106227.11,-92.697025
79111111.11,-93.036051
79115995.12,-94.369085
79120879.12,-93.257349
79125763.13,-92.751105
79130647.13,-93.210421
79135531.14,-94.475655
79140415.14,-93.490967
79145299.15,-92.513981
79150183.15,-92.870636
79155067.16,-92.571576
79159951.16,-93.377234
79164835.16,-93.511724
79169719.17,-92.723908
79174603.17,-92.796641
79179487.18,-92.837668
79184371.18,-93.881850
79189255.19,-93.905457
79194139.19,-93.129714
79199023.20,-93.795378
79203907.20,-93.933613
79208791.21,-93.183827
79213675.21,-93.730265
79218559.22,-92.785785
79223443.22,-93.032185
79228327.23,-92.585990
79233211.23,-93.034174
79238095.24,-92.885559
79242979.24,-92.496191
79247863.25,-93.666707
79252747.25,-93.649271
79257631.26,-93.277480
79262515.26,-92.997165
79267399.27,-92.326033
79272283.27,-92.729290
79277167.28,-93.064988
79282051.28,-92.704189
79286935.29,-93.338619
79291819.29,-93.843629
79296703.30,-93.377453
79301587.30,-92.713097
79306471.31,-92.489347
79311355.31,-91.987406
79316239.32,-92.076305
79321123.32,-93.402912
79326007.33,-93.683283
79330891.33,-92.881339
79335775.34,-93.468959
79340659.34,-93.264650
79345543.35,-93.876311
79350427.35,-93.010990
79355311.36,-93.186976
79360195.36,-93.745468
79365079.37,-94.140833
79369963.37,-93.333280
79374847.37,-92.880273
79379731.38,-92.682637
79384615.38,-93.162004
79389499.39,-93.073404
79394383.39,-92.931409
79399267.40,-93.115304
79404151.40,-93.575839
79409035.41,-94.473304
79413919.41,-93.459751
79418803.42,-93.716011
79423687.42,-93.525517
79428571.43,-93.587623
79433455.43,-93.333318
79438339.44,-93.463435
79443223.44,-94.232875
79448107.45,-93.549618
79452991.45,-93.528837
79457875.46,-92.916623
79462759.46,-93.073375
79467643.47,-93.019581
79472527.47,-92.637285
79477411.48,-92.913301
79482295.48,-92.652410
79487179.49,-93.412373
79492063.49,-93.111972
79496947.50,-93.702135
79501831.50,-93.243884
79506715.51,-92.378651
79511599.51,-92.950958
79516483.52,-93.559274
79521367.52,-93.766530
79526251.53,-93.433099
79531135.53,-92.705263
79536019.54,-93.301000
79540903.54,-93.236981
79545787.55,-92.190799
79550671.55,-93.358546
79555555.56,-92.690759
79560439.56,-92.251010
79565323.57,-92.135355
79570207.57,-92.392138
79575091.58,-92.505967
79579975.58,-93.749163
79584859.58,-93.032076
79589743.59,-93.078225
79594627.59,-92.199508
79599511.60,-92.658719
79604395.60,-93.111276
79609279.61,-92.777775
79614163.61,-93.556327
79619047.62,-94.591554
79623931.62,-93.399056
79628815.63,-92.685052
79633699.63,-92.846265
79638583.64,-92.738292
79643467.64,-92.418623
79648351.65,-92.721572
79653235.65,-92.906773
79658119.66,-93.648113
79663003.66,-93.602838
79667887.67,-93.917057
79672771.67,-93.312142
79677655.68,-92.946953
79682539.68,-93.092888
79687423.69,-92.289760
79692307.69,-92.399686
79697191.70,-92.945060
79702075.70,-92.488221
79706959.71,-92.955289
79711843.71,-93.472425
79716727.72,-92.749676
79721611.72,-92.259232
79726495.73,-92.473038
79731379.73,-92.275663
79736263.74,-92.193648
79741147.74,-92.516020
79746031.75,-92.893267
79750915.75,-92.304814
79755799.76,-93.128188
79760683.76,-93.192264
79765567.77,-93.439343
79770451.77,-93.236376
79775335.78,-92.871762
79780219.78,-93.491836
79785103.79,-94.022734
79789987.79,-93.698833
79794871.79,-92.621502
79799755.80,-91.952235
79804639.80,-91.749772
79809523.81,-92.439303
79814407.81,-92.342812
79819291.82,-92.492736
79824175.82,-91.198849
79829059.83,-91.908327
79833943.83,-93.099226
79838827.84,-92.541294
79843711.84,-91.882287
79848595.85,-92.922184
79853479.85,-92.966417
79858363.86,-93.746396
79863247.86,-93.330600
79868131.87,-93.334469
79873015.87,-92.857491
79877899.88,-93.195663
79882783.88,-93.556396
79887667.89,-93.058687
79892551.89,-92.767798
79897435.90,-92.916242
79902319.90,-93.473392
79907203.91,-93.480990
79912087.91,-93.292865
79916971.92,-92.792090
79921855.92,-93.277555
79926739.93,-93.621599
79931623.93,-93.716474
79936507.94,-93.354002
79941391.94,-93.228139
79946275.95,-93.024684
79951159.95,-92.486752
79956043.96,-91.348692
79960927.96,-90.989827
79965811.97,-90.166735
79970695.97,-88.571504
79975579.98,-88.656066
79980463.98,-86.659235
79985347.99,-85.978783
79990231.99,-85.919728
79995116.00,-85.105416
80000000.00,-85.182592
80004884.00,-85.465558
80009768.01,-85.734378
80014652.01,-86.537545
80019536.02,-87.122307
80024420.02,-88.061164
80029304.03,-89.113742
80034188.03,-91.141898
80039072.04,-91.372254
80043956.04,-92.676772
80048840.05,-92.862600
80053724.05,-92.682419
80058608.06,-93.494121
80063492.06,-93.907778
80068376.07,-93.159995
80073260.07,-92.841459
80078144.08,-93.307082
80083028.08,-93.500889
80087912.09,-93.270449
80092796.09,-92.729397
80097680.10,-93.388808
80102564.10,-92.981218
80107448.11,-93.048707
80112332.11,-93.820150
80117216.12,-94.374879
80122100.12,-92.512868
80126984.13,-93.358036
80131868.13,-93.500957
80136752.14,-93.476517
80141636.14,-93.041123
80146520.15,-93.050427
80151404.15,-93.515736
80156288.16,-93.309406
80161172.16,-93.872359
80166056.17,-93.766094
80170940.17,-92.866036
80175824.18,-93.847469
80180708.18,-93.457543
80185592.19,-93.167037
80190476.19,-93.304592
80195360.20,-93.746470
80200244.20,-93.510943
80205128.21,-93.715116
80210012.21,-93.544847
80214896.21,-93.525825
80219780.22,-92.933888
80224664.22,-93.464647
80229548.23,-93.810816
80234432.23,-93.696589
80239316.24,-93.285724
80244200.24,-93.027655
80249084.25,-93.205992
80253968.25,-93.229999
80258852.26,-93.214532
80263736.26,-93.130879
80268620.27,-93.059734
80273504.27,-93.018187
80278388.28,-93.506318
80283272.28,-93.066168
80288156.29,-92.649326
80293040.29,-93.066972
80297924.30,-93.291474
80302808.30,-93.231601
80307692.31,-92.681456
80312576.31,-92.216011
80317460.32,-92.614929
80322344.32,-94.094594
80327228.33,-93.848494
80332112.33,-94.056830
80336996.34,-94.902067
80341880.34,-94.550466
80346764.35,-93.728558
80351648.35,-93.352290
80356532.36,-93.467198
80361416.36,-92.714817
80366300.37,-92.638742
80371184.37,-93.175337
80376068.38,-92.453215
80380952.38,-93.176681
80385836.39,-93.560374
80390720.39,-92.702858
80395604.40,-92.937639
80400488.40,-92.877155
80405372.41,-93.773993
80410256.41,-93.624212
80415140.42,-92.763630
80420024.42,-93.527512
80424908.42,-94.340225
80429792.43,-94.023884
80434676.43,-94.053327
80439560.44,-93.214119
80444444.44,-93.645928
80449328.45,-93.183010
80454212.45,-93.959749
80459096.46,-93.774795
80463980.46,-92.834809
80468864.47,-93.077028
80473748.47,-93.357782
80478632.48,-91.980919
80483516.48,-92.388043
80488400.49,-92.973102
80493284.49,-94.297200
80498168.50,-94.032181
80503052.50,-92.922308
