# Timestamp: 20251218_072246
# ip: 192.168.46.113
# ruta_salida: Calibración/extraccion/Samples
# frecuencia_central_hz: 108000000
# span_hz: 20000000
# puntos: 4096
# rbw_hz: 47000
Frecuencia_Hz,Amplitud_dBm
98000000.00,-93.394956
98004884.00,-93.503803
98009768.01,-93.762032
98014652.01,-94.364981
98019536.02,-94.371342
98024420.02,-93.658418
98029304.03,-93.758641
98034188.03,-93.780453
98039072.04,-93.290880
98043956.04,-93.814410
98048840.05,-93.898414
98053724.05,-94.099868
98058608.06,-94.027783
98063492.06,-94.060135
98068376.07,-94.884938
98073260.07,-93.689268
98078144.08,-93.799613
98083028.08,-94.477455
98087912.09,-94.017410
98092796.09,-93.880624
98097680.10,-94.113123
98102564.10,-93.900051
98107448.11,-93.746297
98112332.11,-93.585436
98117216.12,-94.424681
98122100.12,-94.920667
98126984.13,-94.303227
98131868.13,-94.104632
98136752.14,-92.914137
98141636.14,-93.213740
98146520.15,-94.030895
98151404.15,-93.876409
98156288.16,-94.038406
98161172.16,-94.335553
98166056.17,-94.202304
98170940.17,-94.801212
98175824.18,-94.760275
98180708.18,-95.234294
98185592.19,-94.351727
98190476.19,-93.731900
98195360.20,-93.447683
98200244.20,-94.041730
98205128.21,-93.872786
98210012.21,-93.628531
98214896.21,-93.994351
98219780.22,-94.067345
98224664.22,-94.757573
98229548.23,-94.238472
98234432.23,-95.452366
98239316.24,-95.563565
98244200.24,-94.762213
98249084.25,-93.978369
98253968.25,-94.044866
98258852.26,-94.166690
98263736.26,-94.106486
98268620.27,-93.969509
98273504.27,-93.733755
98278388.28,-93.813876
98283272.28,-93.458076
98288156.29,-93.366061
98293040.29,-93.095327
98297924.30,-92.421548
98302808.30,-92.775138
98307692.31,-93.054080
98312576.31,-93.684641
98317460.32,-94.249615
98322344.32,-93.529444
98327228.33,-94.357974
98332112.33,-95.346411
98336996.34,-94.596101
98341880.34,-92.955768
98346764.35,-93.321501
98351648.35,-93.439039
98356532.36,-94.090315
98361416.36,-93.479215
98366300.37,-94.175941
98371184.37,-94.259997
98376068.38,-94.350273
98380952.38,-94.221692
98385836.39,-93.436193
98390720.39,-93.666724
98395604.40,-94.148687
98400488.40,-94.137557
98405372.41,-94.587692
98410256.41,-94.389219
98415140.42,-93.713210
98420024.42,-93.466865
98424908.42,-94.697222
98429792.43,-94.131800
98434676.43,-93.327661
98439560.44,-93.211954
98444444.44,-93.297544
98449328.45,-93.179589
98454212.45,-93.198248
98459096.46,-93.280598
98463980.46,-94.174857
98468864.47,-94.494442
98473748.47,-93.456395
98478632.48,-94.535767
98483516.48,-94.558102
98488400.49,-93.949302
98493284.49,-93.177304
98498168.50,-93.111803
98503052.50,-93.856524
98507936.51,-93.799489
98512820.51,-93.825187
98517704.52,-94.255254
98522588.52,-93.910342
98527472.53,-94.232453
98532356.53,-94.350742
98537240.54,-94.532493
98542124.54,-93.337068
98547008.55,-93.289598
98551892.55,-93.777362
98556776.56,-93.695974
98561660.56,-93.721584
98566544.57,-94.019462
98571428.57,-94.770436
98576312.58,-94.106516
98581196.58,-94.986927
98586080.59,-94.183781
98590964.59,-93.704486
98595848.60,-92.804185
98600732.60,-92.944650
98605616.61,-93.851348
98610500.61,-94.258350
98615384.62,-94.464804
98620268.62,-93.752159
98625152.63,-93.545568
98630036.63,-94.515207
98634920.63,-93.885780
98639804.64,-93.939438
98644688.64,-93.329017
98649572.65,-93.085669
98654456.65,-93.577998
98659340.66,-94.217740
98664224.66,-94.051513
98669108.67,-94.425415
98673992.67,-94.010282
98678876.68,-94.166686
98683760.68,-94.446255
98688644.69,-94.871131
98693528.69,-94.313199
98698412.70,-94.186848
98703296.70,-93.650466
98708180.71,-93.885856
98713064.71,-94.129138
98717948.72,-94.472346
98722832.72,-93.839592
98727716.73,-93.678939
98732600.73,-93.223267
98737484.74,-93.809476
98742368.74,-94.046173
98747252.75,-93.891078
98752136.75,-94.544164
98757020.76,-94.313829
98761904.76,-94.927598
98766788.77,-94.144573
98771672.77,-93.557130
98776556.78,-94.258891
98781440.78,-95.095209
98786324.79,-94.335057
98791208.79,-93.919679
98796092.80,-93.789130
98800976.80,-93.868587
98805860.81,-93.359852
98810744.81,-93.843139
98815628.82,-93.818995
98820512.82,-94.241624
98825396.83,-94.329721
98830280.83,-94.424910
98835164.84,-94.127314
98840048.84,-94.035107
98844932.84,-94.179771
98849816.85,-94.153466
98854700.85,-93.412130
98859584.86,-93.523850
98864468.86,-93.924493
98869352.87,-93.569304
98874236.87,-94.455375
98879120.88,-95.014913
98884004.88,-94.174905
98888888.89,-93.820291
98893772.89,-94.066865
98898656.90,-94.270567
98903540.90,-94.340948
98908424.91,-94.413734
98913308.91,-95.257281
98918192.92,-94.500091
98923076.92,-93.864376
98927960.93,-93.432413
98932844.93,-93.656951
98937728.94,-94.181647
98942612.94,-94.460954
98947496.95,-94.415715
98952380.95,-94.670773
98957264.96,-93.916544
98962148.96,-94.110056
98967032.97,-94.233047
98971916.97,-93.628811
98976800.98,-93.885821
98981684.98,-93.675032
98986568.99,-94.051565
98991452.99,-93.207828
98996337.00,-93.470151
99001221.00,-94.332252
99006105.01,-94.207573
99010989.01,-94.209090
99015873.02,-93.045300
99020757.02,-93.745650
99025641.03,-94.297993
99030525.03,-94.752100
99035409.04,-94.643553
99040293.04,-93.788860
99045177.05,-93.483581
99050061.05,-93.640595
99054945.05,-94.162887
99059829.06,-94.768032
99064713.06,-94.720058
99069597.07,-93.843501
99074481.07,-93.415946
99079365.08,-93.384277
99084249.08,-93.574687
99089133.09,-93.932109
99094017.09,-93.621691
99098901.10,-93.527411
99103785.10,-93.066808
99108669.11,-93.017597
99113553.11,-93.091689
99118437.12,-93.708332
99123321.12,-93.733489
99128205.13,-93.454201
99133089.13,-94.270712
99137973.14,-94.041823
99142857.14,-93.914497
99147741.15,-93.537061
99152625.15,-94.116963
99157509.16,-94.686622
99162393.16,-94.987950
99167277.17,-94.463239
99172161.17,-94.010790
99177045.18,-94.305254
99181929.18,-94.063421
99186813.19,-93.778071
99191697.19,-93.624021
99196581.20,-94.635452
99201465.20,-94.171540
99206349.21,-93.469400
99211233.21,-93.342701
99216117.22,-94.176580
99221001.22,-94.379167
99225885.23,-94.460802
99230769.23,-94.701784
99235653.24,-94.180697
99240537.24,-94.029644
99245421.25,-94.289772
99250305.25,-94.390621
99255189.26,-94.396772
99260073.26,-95.117469
99264957.26,-93.531367
99269841.27,-93.480064
99274725.27,-93.188095
99279609.28,-93.333890
99284493.28,-93.337062
99289377.29,-94.336525
99294261.29,-94.463664
99299145.30,-93.817252
99304029.30,-93.627734
99308913.31,-94.121909
99313797.31,-94.696515
99318681.32,-93.999305
99323565.32,-93.881787
99328449.33,-94.048469
99333333.33,-93.770697
99338217.34,-93.600725
99343101.34,-93.066120
99347985.35,-93.617208
99352869.35,-93.514201
99357753.36,-94.331217
99362637.36,-93.268067
99367521.37,-94.124035
99372405.37,-94.182484
99377289.38,-93.624865
99382173.38,-93.564940
99387057.39,-94.105123
99391941.39,-94.127161
99396825.40,-93.509615
99401709.40,-94.007432
99406593.41,-93.432341
99411477.41,-94.255279
99416361.42,-93.922093
99421245.42,-93.782223
99426129.43,-94.375505
99431013.43,-95.221282
99435897.44,-94.407980
99440781.44,-93.545552
99445665.45,-93.364291
99450549.45,-93.862734
99455433.46,-93.672066
99460317.46,-94.245261
99465201.47,-94.623240
99470085.47,-94.066807
99474969.47,-93.930090
99479853.48,-93.731043
99484737.48,-94.505587
99489621.49,-94.047232
99494505.49,-93.648333
99499389.50,-93.258529
99504273.50,-93.270499
99509157.51,-94.152877
99514041.51,-94.392658
99518925.52,-94.206780
99523809.52,-93.751160
99528693.53,-93.930804
99533577.53,-93.525687
99538461.54,-93.701464
99543345.54,-93.920565
99548229.55,-93.524995
99553113.55,-93.399933
99557997.56,-93.879440
99562881.56,-93.063630
99567765.57,-93.162807
99572649.57,-92.930660
99577533.58,-92.295346
99582417.58,-92.087658
99587301.59,-92.181713
99592185.59,-91.522776
99597069.60,-89.817516
99601953.60,-90.231155
99606837.61,-89.636483
