# Timestamp: 20251218_072302
# ip: 192.168.46.113
# ruta_salida: Calibración/extraccion/Samples
# frecuencia_central_hz: 146000000
# span_hz: 20000000
# puntos: 4096
# rbw_hz: 47000
Frecuencia_Hz,Amplitud_dBm
136000000.00,-95.757317
136004884.00,-96.350917
136009768.01,-94.748252
136014652.01,-94.001416
136019536.02,-93.695807
136024420.02,-94.256866
136029304.03,-94.900998
136034188.03,-94.457318
136039072.04,-95.374872
136043956.04,-95.076961
136048840.05,-95.237403
136053724.05,-94.585734
136058608.06,-93.990281
136063492.06,-93.861816
136068376.07,-95.593177
136073260.07,-94.948163
136078144.08,-94.754971
136083028.08,-94.367278
136087912.09,-94.308554
136092796.09,-94.547125
136097680.10,-95.754063
136102564.10,-95.367271
136107448.11,-95.421970
136112332.11,-95.236476
136117216.12,-93.736217
136122100.12,-93.718808
136126984.13,-93.465479
136131868.13,-94.244292
136136752.14,-93.778576
136141636.14,-94.698656
136146520.15,-94.708014
136151404.15,-93.473992
136156288.16,-93.933494
136161172.16,-95.027221
136166056.17,-94.501122
136170940.17,-94.262112
136175824.18,-94.669316
136180708.18,-94.769639
136185592.19,-94.455678
136190476.19,-95.139607
136195360.20,-95.274147
136200244.20,-94.772272
136205128.21,-94.153514
136210012.21,-94.168363
136214896.21,-94.606625
136219780.22,-94.129468
136224664.22,-94.682636
136229548.23,-95.180080
136234432.23,-94.906799
136239316.24,-94.858104
136244200.24,-94.561270
136249084.25,-93.849464
136253968.25,-94.737267
136258852.26,-95.273750
136263736.26,-95.260844
136268620.27,-95.282385
136273504.27,-93.839951
136278388.28,-94.132318
136283272.28,-93.823531
136288156.29,-93.160138
136293040.29,-93.666940
136297924.30,-94.213451
136302808.30,-94.247810
136307692.31,-93.831797
136312576.31,-94.059862
136317460.32,-93.951578
136322344.32,-95.004096
136327228.33,-95.447513
136332112.33,-94.979308
136336996.34,-94.241900
136341880.34,-94.477152
136346764.35,-94.242096
136351648.35,-93.702049
136356532.36,-93.675388
136361416.36,-94.152299
136366300.37,-94.348635
