Frecuencia_Hz,PSD_dBm
91500000.0,-91.05930210161128
91504882.8125,-90.84837883434804
91509765.625,-90.82982600166491
91514648.4375,-90.91972747056064
91519531.25,-90.92456078409472
91524414.0625,-90.994100300843
91529296.875,-91.01374073026057
91534179.6875,-91.01318177680054
91539062.5,-91.19231012594747
91543945.3125,-91.06235309929883
91548828.125,-91.07409618535388
91553710.9375,-91.06651058842641
91558593.75,-91.03140854615697
91563476.5625,-91.01639324546159
91568359.375,-91.0459166748089
91573242.1875,-90.9835586678976
91578125.0,-91.11170727178262
91583007.8125,-91.0503540978157
91587890.625,-91.0280928307983
91592773.4375,-90.95858905394908
91597656.25,-90.86279330563022
91602539.0625,-90.85229052252137
91607421.875,-90.67223519547736
91612304.6875,-90.17112588519882
91617187.5,-90.02487514224009
91622070.3125,-89.74120595252137
91626953.125,-89.37509599357776
91631835.9375,-89.06283406077256
91636718.75,-88.63432952182484
91641601.5625,-88.58381472323379
91646484.375,-88.85285688072321
91651367.1875,-88.83128203982847
91656250.0,-88.512000872799
91661132.8125,-88.61207227318022
91666015.625,-88.97828476631545
91670898.4375,-89.47420130931587
91675781.25,-89.2093132506466
91680664.0625,-88.12521846910386
91685546.875,-86.87586238838117
91690429.6875,-86.27953854550836
91695312.5,-85.99848862563599
91700195.3125,-85.6195909452592
91705078.125,-85.3652947513948
91709960.9375,-85.41697726158975
91714843.75,-86.26845600836194
91719726.5625,-87.31838054928667
91724609.375,-88.99745921368535
91729492.1875,-90.35644861256603
91734375.0,-90.61968508510796
91739257.8125,-90.60333903853362
91744140.625,-90.50473486375347
91749023.4375,-90.68508991740879
91753906.25,-90.53971804127687
91758789.0625,-90.41659461414488
91763671.875,-90.16945009943854
91768554.6875,-90.16743798990109
91773437.5,-90.25441112089143
91778320.3125,-90.7008959939792
91783203.125,-90.75331999689044
91788085.9375,-90.91723532096435
91792968.75,-90.78963815317832
91797851.5625,-91.10630271959712
91802734.375,-91.03780473754304
91807617.1875,-90.99269894045668
91812500.0,-90.86249172667306
91817382.8125,-90.9927429461188
91822265.625,-91.02227956273902
91827148.4375,-90.95169727527724
91832031.25,-90.885439951112
91836914.0625,-90.99718660158379
91841796.875,-90.99910801958322
91846679.6875,-90.99708983714129
91851562.5,-90.98165807934129
91856445.3125,-90.977022966954
91861328.125,-90.90945521303973
91866210.9375,-90.97611590905223
91871093.75,-91.10227000217162
91875976.5625,-91.10287625068901
91880859.375,-91.02903552111673
91885742.1875,-91.00164410958382
91890625.0,-90.87599129181177
91895507.8125,-90.9462805186096
91900390.625,-90.96863762301439
91905273.4375,-91.02866239567749
91910156.25,-91.11567835751248
91915039.0625,-91.00061469118322
91919921.875,-90.9551320210937
91924804.6875,-90.95913003179118
91929687.5,-90.94098786886724
91934570.3125,-90.93199478149845
91939453.125,-91.01580332855394
91944335.9375,-91.00111951017394
91949218.75,-91.10913389767961
91954101.5625,-91.04738047919273
91958984.375,-91.05784627189044
91963867.1875,-90.99298444599538
91968750.0,-91.10463240923951
91973632.8125,-91.07394273770672
91978515.625,-90.93537801454067
91983398.4375,-91.00446741245702
91988281.25,-91.17444842002018
91993164.0625,-91.07051212290582
91998046.875,-91.0280456182426
92002929.6875,-91.01526004815159
92007812.5,-90.98401643396079
92012695.3125,-91.1593417314069
92017578.125,-91.21664686596804
92022460.9375,-91.11412272584673
92027343.75,-91.0808105876412
92032226.5625,-91.13039297440685
92037109.375,-91.1112508680157
92041992.1875,-91.12009020624942
92046875.0,-91.08822608101582
92051757.8125,-90.99402207671187
92056640.625,-91.14408731763243
92061523.4375,-91.09275236368481
92066406.25,-91.09135761024322
92071289.0625,-91.15059840848443
92076171.875,-91.09389506354296
92081054.6875,-91.06163647323959
92085937.5,-91.01678921615445
92090820.3125,-91.11365996931917
92095703.125,-91.26191573237608
92100585.9375,-90.68740551466922
92105468.75,-91.13571985319976
92110351.5625,-91.07244561631066
92115234.375,-91.08279147156617
92120117.1875,-91.11594970949784
92125000.0,-90.96274529299433
92129882.8125,-91.15077389891698
92134765.625,-91.07789884843672
92139648.4375,-91.07932625098127
92144531.25,-91.12150205527999
92149414.0625,-91.06691876987523
92154296.875,-91.02511094375379
92159179.6875,-90.99857499021218
92164062.5,-91.07472449318345
92168945.3125,-91.09177565276391
92173828.125,-91.02972988283608
92178710.9375,-91.00299015892969
92183593.75,-91.1605824788665
92188476.5625,-91.16325319752232
92193359.375,-91.14849276544857
92198242.1875,-91.10893838433924
92203125.0,-91.00908314860445
92208007.8125,-90.94955744036082
92212890.625,-91.06078301098637
92217773.4375,-90.93127760827878
92222656.25,-90.9740208606988
92227539.0625,-91.00045113967013
92232421.875,-91.01968246040943
92237304.6875,-90.99428320821642
92242187.5,-90.91185576193672
92247070.3125,-90.53976939037528
92251953.125,-90.33702035109428
92256835.9375,-90.63563123829402
92261718.75,-90.59668423151388
92266601.5625,-90.49478768473841
92271484.375,-90.54415973302613
92276367.1875,-90.38184590125152
92281250.0,-90.10415224396024
92286132.8125,-90.23019596791596
92291015.625,-90.01837305221818
92295898.4375,-89.94320947755932
92300781.25,-89.87693430027963
92305664.0625,-89.91207023541565
92310546.875,-90.0946462854242
92315429.6875,-90.20966341497623
92320312.5,-90.30453390259655
92325195.3125,-90.47883595921164
92330078.125,-90.56496454592556
92334960.9375,-90.70867795584826
92339843.75,-90.70846230081523
92344726.5625,-90.6674416286179
92349609.375,-90.79714186870427
92354492.1875,-90.78359358126801
92359375.0,-90.81242295876623
92364257.8125,-90.8925731472186
92369140.625,-90.95016359335733
92374023.4375,-90.78653631178122
92378906.25,-90.83429495190691
92383789.0625,-90.90578362692091
92388671.875,-90.93522439131638
92393554.6875,-90.92100515733495
92398437.5,-90.97058925254362
92403320.3125,-91.01217824542971
92408203.125,-90.97561097287735
92413085.9375,-90.9374666680736
92417968.75,-90.95696581140851
92422851.5625,-91.02976319341093
92427734.375,-91.09465431459685
92432617.1875,-90.98035673387767
92437500.0,-91.04866311214752
92442382.8125,-91.08796382529255
92447265.625,-90.96601964829813
92452148.4375,-91.05654904066319
92457031.25,-90.93990285029011
92461914.0625,-91.10479359127959
92466796.875,-90.95567021673
92471679.6875,-91.08518506322173
92476562.5,-91.05275309272827
92481445.3125,-91.04778376733509
92486328.125,-91.15683491805893
92491210.9375,-91.0785428265979
92496093.75,-91.02237381303806
92500976.5625,-91.04764528485128
92505859.375,-91.09773039532652
92510742.1875,-91.162519064386
92515625.0,-91.12615830294027
92520507.8125,-90.97955704286994
92525390.625,-91.00017188360235
92530273.4375,-91.04580449736736
92535156.25,-90.96900249029648
92540039.0625,-91.01950487796222
92544921.875,-91.17713172607759
92549804.6875,-91.00765058975583
92554687.5,-91.1499866340462
92559570.3125,-91.02322718383292
