# Timestamp: 20251218_072332
# ip: 192.168.46.113
# ruta_salida: Calibración/extraccion/Samples
# frecuencia_central_hz: 101000000
# span_hz: 20000000
# puntos: 4096
# rbw_hz: 47000
Frecuencia_Hz,Amplitud_dBm
91000000.00,-94.278838
91004884.00,-94.921037
91009768.01,-94.970340
91014652.01,-94.128224
91019536.02,-93.466882
91024420.02,-93.931947
91029304.03,-94.443595
91034188.03,-94.029768
91039072.04,-94.137499
91043956.04,-94.976553
91048840.05,-93.949759
91053724.05,-94.006274
91058608.06,-94.500745
91063492.06,-94.007270
91068376.07,-93.849126
91073260.07,-94.021610
91078144.08,-93.886932
91083028.08,-93.213484
91087912.09,-93.947647
91092796.09,-94.306933
91097680.10,-94.344111
91102564.10,-94.642633
91107448.11,-94.257986
91112332.11,-94.301696
91117216.12,-94.275183
91122100.12,-93.775315
91126984.13,-94.376313
91131868.13,-93.807929
91136752.14,-94.361457
91141636.14,-94.454136
91146520.15,-95.212131
91151404.15,-95.266973
91156288.16,-94.576678
91161172.16,-94.312930
91166056.17,-93.915652
91170940.17,-93.300546
91175824.18,-93.244679
91180708.18,-93.888985
91185592.19,-94.719102
91190476.19,-94.891151
91195360.20,-93.656006
91200244.20,-93.287682
91205128.21,-94.230597
91210012.21,-93.822135
91214896.21,-93.925337
91219780.22,-93.517746
91224664.22,-95.033280
91229548.23,-95.129078
91234432.23,-94.796971
91239316.24,-94.070215
91244200.24,-94.001423
91249084.25,-94.248311
91253968.25,-94.313152
91258852.26,-93.399785
91263736.26,-93.631482
91268620.27,-94.006587
91273504.27,-93.896664
91278388.28,-93.628508
91283272.28,-94.065317
91288156.29,-94.964471
91293040.29,-93.614524
91297924.30,-94.158888
91302808.30,-94.011946
91307692.31,-94.250803
91312576.31,-93.779069
91317460.32,-93.792032
91322344.32,-94.002492
91327228.33,-93.815936
91332112.33,-94.316644
91336996.34,-94.014657
91341880.34,-94.280917
91346764.35,-94.277068
91351648.35,-94.195332
91356532.36,-93.541970
91361416.36,-94.222093
91366300.37,-94.526330
91371184.37,-94.779681
91376068.38,-94.776181
91380952.38,-94.931279
91385836.39,-94.286471
91390720.39,-94.358542
91395604.40,-94.175817
91400488.40,-94.314836
91405372.41,-93.692413
91410256.41,-93.827722
91415140.42,-94.014229
91420024.42,-93.996688
91424908.42,-93.994268
91429792.43,-94.450309
