# Timestamp: 20251218_072142
# ip: 192.168.46.113
# ruta_salida: Calibración/extraccion/Samples
# frecuencia_central_hz: 96000000
# span_hz: 20000000
# puntos: 4096
# rbw_hz: 47000
Frecuencia_Hz,Amplitud_dBm
86000000.00,-93.737272
86004884.00,-94.062977
86009768.01,-94.020656
86014652.01,-94.833476
86019536.02,-95.178901
86024420.02,-94.526596
86029304.03,-94.210924
86034188.03,-94.715802
86039072.04,-94.417873
86043956.04,-94.666191
86048840.05,-94.748153
86053724.05,-94.457640
86058608.06,-94.183158
86063492.06,-94.906461
86068376.07,-94.469209
86073260.07,-95.144716
86078144.08,-94.457258
86083028.08,-93.616722
86087912.09,-94.855901
86092796.09,-94.564753
86097680.10,-93.854748
86102564.10,-94.161454
86107448.11,-94.910393
86112332.11,-94.152840
86117216.12,-94.332935
86122100.12,-95.167612
86126984.13,-93.334023
86131868.13,-93.907372
86136752.14,-94.716290
86141636.14,-95.763865
86146520.15,-94.940596
86151404.15,-94.775406
86156288.16,-94.243393
86161172.16,-94.963429
86166056.17,-95.248630
86170940.17,-93.619200
86175824.18,-93.160600
86180708.18,-94.588171
86185592.19,-94.155473
86190476.19,-94.776635
86195360.20,-94.608320
86200244.20,-95.146287
86205128.21,-94.841878
86210012.21,-94.537506
86214896.21,-94.212652
86219780.22,-93.545146
86224664.22,-94.727737
86229548.23,-94.823275
86234432.23,-93.909131
86239316.24,-93.865256
86244200.24,-94.539175
86249084.25,-94.840177
86253968.25,-94.433594
86258852.26,-92.993932
86263736.26,-92.983075
86268620.27,-94.609576
86273504.27,-94.835823
86278388.28,-95.082657
86283272.28,-94.997115
86288156.29,-94.500626
86293040.29,-93.589588
86297924.30,-94.269492
86302808.30,-95.429749
86307692.31,-95.275153
86312576.31,-94.322817
86317460.32,-94.722872
86322344.32,-95.347300
86327228.33,-94.608993
86332112.33,-95.000571
86336996.34,-94.305980
86341880.34,-93.919012
86346764.35,-93.780536
86351648.35,-94.784042
86356532.36,-94.605558
86361416.36,-94.702826
86366300.37,-94.263649
86371184.37,-94.444466
86376068.38,-94.176890
86380952.38,-94.541737
86385836.39,-95.106081
86390720.39,-95.445275
86395604.40,-94.182068
86400488.40,-94.336648
86405372.41,-94.070431
86410256.41,-93.602368
86415140.42,-94.328867
86420024.42,-93.790426
86424908.42,-94.594047
86429792.43,-94.656586
86434676.43,-94.756062
86439560.44,-95.061779
86444444.44,-94.466840
86449328.45,-93.750267
86454212.45,-94.893220
86459096.46,-94.894104
86463980.46,-96.097106
86468864.47,-95.220957
86473748.47,-94.420783
86478632.48,-93.770879
86483516.48,-94.059946
86488400.49,-94.503400
86493284.49,-94.703233
86498168.50,-94.133065
86503052.50,-93.859520
86507936.51,-93.517045
86512820.51,-93.293714
86517704.52,-94.622092
86522588.52,-94.838134
86527472.53,-95.901088
86532356.53,-95.017682
86537240.54,-94.357432
86542124.54,-94.519198
86547008.55,-94.228245
86551892.55,-94.029526
86556776.56,-94.204923
86561660.56,-95.064955
86566544.57,-94.369340
86571428.57,-94.142866
86576312.58,-94.802306
86581196.58,-94.083421
86586080.59,-94.477331
86590964.59,-94.707533
86595848.60,-94.556839
86600732.60,-94.583448
86605616.61,-95.414399
86610500.61,-94.412274
86615384.62,-95.013767
86620268.62,-94.892276
86625152.63,-93.444210
86630036.63,-94.170461
86634920.63,-93.954299
86639804.64,-94.763534
86644688.64,-94.482361
86649572.65,-93.985995
86654456.65,-93.465176
86659340.66,-93.790863
86664224.66,-94.286560
86669108.67,-94.032966
86673992.67,-94.028571
86678876.68,-93.688091
86683760.68,-92.975827
86688644.69,-93.784797
86693528.69,-94.402339
86698412.70,-94.147668
86703296.70,-93.609935
86708180.71,-93.564295
86713064.71,-94.404022
86717948.72,-95.055640
86722832.72,-94.502139
86727716.73,-94.285059
86732600.73,-94.807752
86737484.74,-93.993064
86742368.74,-93.959537
86747252.75,-93.856479
86752136.75,-94.180841
86757020.76,-94.271754
86761904.76,-94.110396
86766788.77,-94.395403
86771672.77,-94.515695
86776556.78,-93.704891
86781440.78,-93.908945
86786324.79,-93.249825
86791208.79,-93.338019
86796092.80,-94.178399
86800976.80,-93.880206
86805860.81,-94.154266
86810744.81,-94.846670
86815628.82,-94.103012
86820512.82,-94.820860
86825396.83,-94.969543
86830280.83,-94.132132
86835164.84,-94.238405
86840048.84,-93.396545
86844932.84,-93.319441
86849816.85,-94.403318
86854700.85,-94.696163
86859584.86,-93.619565
86864468.86,-93.433629
86869352.87,-93.471556
86874236.87,-93.992960
86879120.88,-94.895296
86884004.88,-94.784276
86888888.89,-94.750077
86893772.89,-95.318394
86898656.90,-95.198086
86903540.90,-94.243261
86908424.91,-94.762830
86913308.91,-95.350233
86918192.92,-94.549617
86923076.92,-94.233662
86927960.93,-94.527761
86932844.93,-94.295426
86937728.94,-93.789120
86942612.94,-93.490962
86947496.95,-95.355469
86952380.95,-94.768404
86957264.96,-94.127611
86962148.96,-95.007029
86967032.97,-94.804691
86971916.97,-94.861934
86976800.98,-94.358347
86981684.98,-93.933842
86986568.99,-94.745036
86991452.99,-94.792374
86996337.00,-94.607216
87001221.00,-95.398776
87006105.01,-94.148476
87010989.01,-94.056737
87015873.02,-94.511295
87020757.02,-94.490462
87025641.03,-95.010101
87030525.03,-95.150044
87035409.04,-95.084366
87040293.04,-94.761825
87045177.05,-93.760846
87050061.05,-93.205845
87054945.05,-94.582018
87059829.06,-94.405317
87064713.06,-94.724841
87069597.07,-94.136258
87074481.07,-94.280386
87079365.08,-94.899995
87084249.08,-95.012730
87089133.09,-94.794519
87094017.09,-93.885900
87098901.10,-93.092471
87103785.10,-93.589280
87108669.11,-93.648765
87113553.11,-94.137718
87118437.12,-94.920310
87123321.12,-94.537561
87128205.13,-94.626284
87133089.13,-94.469588
87137973.14,-94.972718
87142857.14,-94.282295
87147741.15,-94.411803
87152625.15,-94.781012
87157509.16,-94.021694
87162393.16,-93.812505
87167277.17,-94.737388
87172161.17,-94.348178
87177045.18,-94.439089
87181929.18,-95.091044
87186813.19,-94.956117
87191697.19,-94.645000
87196581.20,-94.222773
87201465.20,-93.920395
87206349.21,-94.309025
87211233.21,-93.524918
87216117.22,-94.423917
87221001.22,-94.868234
87225885.23,-94.548660
87230769.23,-94.414722
87235653.24,-94.055827
87240537.24,-94.648721
87245421.25,-94.254355
87250305.25,-94.634846
87255189.26,-94.971815
87260073.26,-94.410157
87264957.26,-93.833880
87269841.27,-94.098493
87274725.27,-95.355929
87279609.28,-94.458399
87284493.28,-93.770747
87289377.29,-93.001559
87294261.29,-93.946798
87299145.30,-94.528005
87304029.30,-94.849930
87308913.31,-94.532280
87313797.31,-94.241149
87318681.32,-94.079879
87323565.32,-94.764674
87328449.33,-94.728374
87333333.33,-94.400219
87338217.34,-95.008792
87343101.34,-94.734117
87347985.35,-94.295610
87352869.35,-94.578816
87357753.36,-94.519263
87362637.36,-94.282460
87367521.37,-94.795090
87372405.37,-94.049737
87377289.38,-94.735414
87382173.38,-94.610958
87387057.39,-93.971366
87391941.39,-93.945342
87396825.40,-94.211704
87401709.40,-94.719478
87406593.41,-95.015996
87411477.41,-94.316197
87416361.42,-94.731770
87421245.42,-94.632862
87426129.43,-94.031496
87431013.43,-94.070906
87435897.44,-94.294486
87440781.44,-94.686383
87445665.45,-94.655910
87450549.45,-94.504210
87455433.46,-95.226965
87460317.46,-93.972604
87465201.47,-93.891246
87470085.47,-94.210806
87474969.47,-95.214717
87479853.48,-94.484001
87484737.48,-93.729804
87489621.49,-94.006776
87494505.49,-94.146121
87499389.50,-94.244254
87504273.50,-94.927001
87509157.51,-94.185887
87514041.51,-93.473586
87518925.52,-93.860786
87523809.52,-94.583224
87528693.53,-94.151391
87533577.53,-94.607839
87538461.54,-94.824304
87543345.54,-95.166693
87548229.55,-95.011197
87553113.55,-94.644304
87557997.56,-94.082064
