# Timestamp: 20251218_072212
# ip: 192.168.46.113
# ruta_salida: Calibración/extraccion/Samples
# frecuencia_central_hz: 105000000
# span_hz: 20000000
# puntos: 4096
# rbw_hz: 47000
Frecuencia_Hz,Amplitud_dBm
95000000.00,-93.202328
95004884.00,-93.344373
95009768.01,-92.355896
95014652.01,-91.211550
95019536.02,-89.712264
95024420.02,-89.335165
95029304.03,-88.386255
95034188.03,-86.893184
95039072.04,-86.016205
95043956.04,-83.874041
95048840.05,-83.238439
95053724.05,-81.989498
95058608.06,-81.334281
95063492.06,-80.496022
95068376.07,-79.783792
95073260.07,-79.615901
95078144.08,-77.856805
95083028.08,-77.148336
95087912.09,-76.816738
95092796.09,-76.668286
95097680.10,-76.203048
95102564.10,-76.111538
95107448.11,-77.320790
95112332.11,-78.225756
95117216.12,-78.558911
95122100.12,-79.449012
95126984.13,-79.905918
95131868.13,-80.755656
95136752.14,-81.651935
95141636.14,-82.791182
95146520.15,-83.165810
95151404.15,-83.682130
95156288.16,-84.491259
95161172.16,-86.047118
95166056.17,-88.064580
95170940.17,-89.156967
95175824.18,-90.194248
95180708.18,-90.503250
95185592.19,-90.940011
95190476.19,-90.100851
95195360.20,-89.800857
95200244.20,-91.665946
95205128.21,-91.617552
95210012.21,-92.566147
95214896.21,-93.559871
95219780.22,-93.838592
95224664.22,-93.431354
95229548.23,-93.191303
95234432.23,-94.542051
95239316.24,-95.611273
95244200.24,-94.993045
95249084.25,-93.938375
95253968.25,-94.200517
95258852.26,-95.823346
95263736.26,-94.771553
95268620.27,-94.116319
95273504.27,-94.023466
95278388.28,-94.582496
95283272.28,-93.985756
95288156.29,-94.539206
95293040.29,-94.651765
95297924.30,-93.397387
95302808.30,-93.090171
95307692.31,-93.589894
95312576.31,-93.929600
95317460.32,-94.908986
95322344.32,-94.296549
95327228.33,-94.504275
95332112.33,-94.203981
95336996.34,-93.963259
95341880.34,-94.769633
95346764.35,-94.229533
95351648.35,-94.437824
95356532.36,-94.224362
95361416.36,-94.056860
95366300.37,-93.717140
95371184.37,-93.681776
95376068.38,-93.513197
95380952.38,-94.219655
95385836.39,-94.775136
95390720.39,-94.651474
95395604.40,-93.797801
95400488.40,-93.388746
95405372.41,-93.592392
95410256.41,-94.469886
95415140.42,-95.237876
95420024.42,-95.245611
95424908.42,-94.507374
95429792.43,-94.517917
95434676.43,-94.516893
95439560.44,-94.802659
95444444.44,-95.255170
95449328.45,-95.983539
95454212.45,-93.979904
95459096.46,-94.331563
95463980.46,-94.788047
95468864.47,-93.898638
95473748.47,-93.406757
95478632.48,-95.000648
95483516.48,-95.235987
95488400.49,-94.911329
95493284.49,-94.690363
95498168.50,-94.076584
95503052.50,-93.385736
95507936.51,-94.538154
