Frequency_Hz,Power_dBm
99008945.31,-66.7520
99013828.12,-66.7010
99018710.94,-66.6712
99023593.75,-66.5327
99028476.56,-66.6459
99033359.38,-66.6436
99038242.19,-66.6553
99043125.00,-66.7032
99048007.81,-66.6367
99052890.62,-66.5939
99057773.44,-66.5415
99062656.25,-66.5898
99067539.06,-66.5540
99072421.88,-66.5701
99077304.69,-66.6335
99082187.50,-66.6612
99087070.31,-66.5783
99091953.12,-66.5855
99096835.94,-66.6190
99101718.75,-66.5572
99106601.56,-66.6099
99111484.38,-66.6768
99116367.19,-66.5710
99121250.00,-66.6283
99126132.81,-66.6737
99131015.62,-66.6108
99135898.44,-66.6000
99140781.25,-66.6077
99145664.06,-66.5012
99150546.88,-66.6108
99155429.69,-66.6287
99160312.50,-66.6589
99165195.31,-66.6222
99170078.12,-66.6472
99174960.94,-66.6348
99179843.75,-66.5500
99184726.56,-66.6491
99189609.38,-66.6972
99194492.19,-66.6825
99199375.00,-66.6181
99204257.81,-66.6410
99209140.62,-66.5522
99214023.44,-66.6476
99218906.25,-66.5487
99223789.06,-66.6415
99228671.88,-66.5813
99233554.69,-66.6293
99238437.50,-66.6917
99243320.31,-66.6786
99248203.12,-66.6459
99253085.94,-66.6357
99257968.75,-66.5936
99262851.56,-66.6434
99267734.38,-66.6652
99272617.19,-66.6419
99277500.00,-66.6723
99282382.81,-66.6927
99287265.62,-66.7120
99292148.44,-66.6601
99297031.25,-66.6238
99301914.06,-66.6826
99306796.88,-66.6057
99311679.69,-66.6588
99316562.50,-66.6606
99321445.31,-66.7528
99326328.12,-66.6397
99331210.94,-66.5860
99336093.75,-66.7109
99340976.56,-66.7408
99345859.38,-66.7188
99350742.19,-66.7413
99355625.00,-66.6874
99360507.81,-66.5863
99365390.62,-66.6692
99370273.44,-66.7610
99375156.25,-66.6860
99380039.06,-66.6104
99384921.88,-66.6656
99389804.69,-66.7519
99394687.50,-66.6907
99399570.31,-66.5274
99404453.12,-66.5716
99409335.94,-66.6022
99414218.75,-66.6755
99419101.56,-66.7012
99423984.38,-66.6481
99428867.19,-66.6538
99433750.00,-66.6481
99438632.81,-66.6352
99443515.62,-66.6523
99448398.44,-66.6774
99453281.25,-66.5934
99458164.06,-66.5539
99463046.88,-66.6641
99467929.69,-66.6243
99472812.50,-66.6583
99477695.31,-66.7632
99482578.12,-66.7193
99487460.94,-66.7124
99492343.75,-66.7933
99497226.56,-66.7142
99502109.38,-66.5945
99506992.19,-66.5761
99511875.00,-66.6238
99516757.81,-66.7066
99521640.62,-66.6837
99526523.44,-66.6230
99531406.25,-66.6300
99536289.06,-66.6653
99541171.88,-66.6917
99546054.69,-66.7342
99550937.50,-66.7454
99555820.31,-66.5938
99560703.12,-66.5987
