Freq_Hz,N9000B_dBm
88003906.631507,-77.13004548714649
88013673.21027443,-81.42043610051729
88023439.7890419,-89.94650181684213
88033206.36780934,-94.05759270394675
88042972.94657682,-91.43668616669693
88052739.52534425,-86.28391621699953
88062506.10411173,-83.293338914859
88072272.68287918,-84.38616770735507
88082039.26164664,-90.23762267867163
88091805.84041409,-93.61112403181563
88101572.41918156,-92.16908194880004
88111338.99794902,-93.77725974022479
88121105.57671647,-95.021055212003
88130872.15548392,-93.7438698796006
88140638.7342514,-94.27925104647781
88150405.31301884,-93.00847922477917
88160171.8917863,-94.32184491239602
88169938.47055376,-94.57398802090601
88179705.04932122,-93.23149333835852
88189471.62808867,-93.79931396982934
88199238.20685613,-92.96205409334829
88209004.78562358,-93.49416751574762
88218771.36439106,-93.64015674356963
88228537.94315849,-93.16576667026497
88238304.52192597,-94.57835327110386
88248071.10069342,-91.62990955177038
88257837.67946088,-94.5802033185614
88267604.25822833,-94.62213644958992
88277370.83699581,-94.67142052068337
88287137.41576326,-93.39457176506232
88296903.99453071,-92.17979851769283
88306670.57329817,-93.10917710472161
88316437.15206563,-93.8283668678852
88326203.73083308,-91.66788394827812
88335970.30960055,-92.78185569155698
88345736.888368,-93.08427426271635
88355503.46713546,-93.45959707739914
88365270.04590292,-94.59534918149163
88375036.62467037,-93.14230121192355
88384803.20343783,-93.44955508016268
88394569.7822053,-92.23344131478368
88404336.36097273,-94.58199347996258
88414102.93974021,-94.29126308439707
88423869.51850767,-92.4762044350799
88433636.09727512,-90.82593103986164
88443402.67604259,-91.74161248746364
88453169.25481005,-93.92420422214246
88462935.8335775,-93.74471813904357
88472702.41234496,-92.69841525617849
88482468.9911124,-92.67866571136322
88492235.56987987,-92.7146977252889
88502002.14864732,-92.90515023451002
88511768.72741479,-94.07835571595326
88521535.30618224,-94.16375388325628
88531301.8849497,-92.66767557434807
88541068.46371715,-93.54161795505733
88550835.04248461,-94.79155248993841
88560601.62125207,-97.10847192559226
88570368.20001952,-92.86236782669397
88580134.77878697,-92.84167990362
88589901.35755445,-93.67824203764192
88599667.9363219,-93.9341264792285
88609434.51508936,-94.06516231742879
88619201.0938568,-91.82770801385792
88628967.67262428,-92.1544604534992
88638734.25139174,-93.10528651328887
88648500.83015919,-95.91588322990803
88658267.40892665,-94.44837148574251
88668033.98769411,-93.2162373946302
88677800.56646155,-93.36711527639848
88687567.14522903,-93.92446765083372
88697333.72399648,-93.80101621855891
88707100.30276394,-93.57746709703342
88716866.8815314,-92.4415695897743
88726633.46029885,-92.15816290833456
88736400.0390663,-93.91506914863865
88746166.61783378,-94.03727511634075
88755933.19660121,-93.82588612316339
88765699.77536869,-92.38711709958292
88775466.35413615,-93.36799946183007
88785232.9329036,-93.98536588161834
88794999.51167105,-95.57067701452226
88804766.09043851,-94.26703390477216
88814532.66920598,-93.23490630783711
88824299.24797343,-95.47872326036219
88834065.82674089,-92.53777689105289
88843832.40550835,-93.65637400697918
88853598.98427579,-94.13780600180456
88863365.56304327,-93.26903436149026
88873132.14181072,-92.76376710639163
88882898.72057818,-94.01853245883595
88892665.29934564,-93.96665464844745
88902431.87811309,-93.23895523707903
88912198.45688055,-92.43873209740697
88921965.03564802,-92.88174817906443
88931731.61441545,-94.43194711080777
88941498.19318293,-94.22286894891073
88951264.7719504,-94.5205808485681
88961031.35071784,-93.86095745062539
88970797.92948529,-92.8313052764428
88980564.50825277,-93.48458924844373
88990331.08702022,-94.1692343053148
89000097.66578767,-92.25198602211253
89009864.24455513,-92.19689792679566
89019630.82332258,-93.1810217628729
89029397.40209003,-94.94823958202694
89039163.9808575,-93.07283863943356
89048930.55962496,-92.76752835600384
89058697.13839242,-92.49983847754928
89068463.71715988,-92.53493039856846
89078230.29592733,-93.40427982956528
89087996.87469478,-94.0174721910677
89097763.45346226,-90.47674921716487
89107530.0322297,-91.06820139951394
89117296.61099717,-93.55805844144862
89127063.18976463,-93.91450782598011
89136829.76853208,-92.67440860045139
89146596.34729953,-91.33087562523129
89156362.926067,-92.36483900036427
89166129.50483446,-93.07671963279691
89175896.0836019,-93.78499968631527
89185662.66236936,-93.61204294274044
89195429.24113683,-93.25130170557024
89205195.81990428,-93.18876467000672
89214962.39867175,-95.08675315089924
89224728.9774392,-94.82510445598699
89234495.55620666,-94.30969800557668
89244262.1349741,-92.45931988586891
89254028.71374157,-93.96026466377455
89263795.29250903,-93.45350074853228
89273561.87127648,-94.91311795858557
89283328.45004393,-92.19657059490225
89293095.02881141,-93.16959286908961
89302861.60757886,-93.70215142261274
89312628.18634632,-94.871292292601
89322394.76511376,-95.0247208125428
89332161.34388123,-93.61060277504053
89341927.9226487,-92.98713700075977
89351694.50141615,-93.05722160616035
89361461.08018361,-92.61487892316626
89371227.65895107,-93.66699433893858
89380994.23771851,-93.30268675726487
89390760.81648599,-94.8658288168207
89400527.39525345,-94.34470928241211
89410293.9740209,-95.14620787817485
89420060.55278836,-95.09048694863418
89429827.13155583,-93.3562132941904
89439593.71032326,-94.79518481691343
89449360.28909072,-94.18866278943112
89459126.86785819,-95.82203245291949
89468893.44662565,-94.33375747819855
89478660.0253931,-93.23228953347012
89488426.60416056,-93.97688019307802
89498193.18292801,-93.60261896349309
89507959.76169547,-94.03896905596382
89517726.34046294,-95.39146139501752
89527492.91923039,-92.92939798792433
89537259.49799784,-91.49434658834103
89547026.07676531,-94.02338403625998
89556792.65553276,-93.52674494789716
89566559.23430023,-93.77047545839113
89576325.81306767,-91.55926078073242
89586092.39183514,-92.0720525833505
89595858.97060259,-92.79089384674435
89605625.54937004,-90.53922740620382
89615392.1281375,-85.14345552343018
89625158.70690496,-78.76011763497978
89634925.28567241,-76.79180652027547
89644691.86443989,-79.85450526205226
89654458.44320734,-87.63463471986155
89664225.02197479,-91.80580801580933
89673991.60074225,-92.45026724154803
89683758.17950971,-92.94025455507426
89693524.75827716,-93.36349539505713
89703291.33704463,-93.46608465105493
89713057.91581209,-92.25499918559316
89722824.49457954,-92.49194766052634
89732591.073347,-93.14168800010663
89742357.65211447,-94.7309486890395
89752124.23088191,-94.4403682781903
89761890.80964938,-91.86377974491215
89771657.38841684,-91.7161296612585
89781423.96718429,-92.0911233866326
89791190.54595175,-94.42643490856543
89800957.12471922,-94.04020696495847
89810723.70348665,-92.73841274088372
89820490.28225413,-92.69158656173069
89830256.86102156,-93.81534936640294
89840023.43978904,-94.55528075786472
89849790.0185565,-94.4723152465557
89859556.59732397,-93.17709092521926
89869323.1760914,-93.41708076493146
89879089.75485888,-94.73747885650361
89888856.33362631,-94.5695646995513
89898622.9123938,-93.6336382346864
89908389.49116124,-93.40295431294473
89918156.06992872,-93.48321053778342
89927922.64869614,-94.13939818664656
89937689.22746362,-94.41800447567786
89947455.80623107,-95.5269347809089
89957222.38499853,-93.97861185007906
89966988.963766,-92.30937173745586
89976755.54253344,-93.44620767609447
89986522.12130089,-93.70152297382367
89996288.70006838,-90.54413289171342
90006055.2788358,-91.68868381204355
90015821.85760328,-93.89289338022004
90025588.43637072,-94.03872971014279
90035355.0151382,-95.28219437861216
90045121.59390566,-94.50995474245178
90054888.1726731,-94.95334084941278
90064654.75144057,-93.76752567336361
90074421.33020802,-94.15887321471371
90084187.90897548,-95.62584482336354
90093954.48774295,-92.53157879827093
90103721.0665104,-89.33913442666795
90113487.64527784,-87.74098804179249
90123254.2240453,-90.20359197063271
90133020.80281277,-95.54085131911927
90142787.38158022,-95.16010317535618
90152553.96034768,-94.15407654934094
90162320.53911515,-95.78517780714489
90172087.11788262,-94.22162689995447
90181853.69665006,-95.21849771676486
90191620.27541752,-94.63233928840015
90201386.85418497,-93.68792464987794
90211153.43295243,-94.65222256673258
90220920.0117199,-95.91850987639899
90230686.59048733,-95.54737358217685
90240453.16925481,-93.13352149307758
90250219.74802227,-93.40444091327129
90259986.32678972,-94.8813024549012
90269752.90555719,-95.01865479444986
90279519.48432462,-95.05745677084965
90289286.0630921,-94.45995465859528
90299052.64185956,-92.70883543316734
90308819.22062702,-93.07090057161017
90318585.79939446,-95.13898382259728
90328352.37816194,-95.0467129367089
90338118.95692937,-92.34162954424104
90347885.53569685,-92.62807128312517
90357652.1144643,-93.70143433281852
