Freq_Hz,N9000B_dBm
88003906.631507,-76.70812588660039
88013673.21027443,-81.1847794510185
88023439.7890419,-89.95315715119074
88033206.36780934,-94.68148364868894
88042972.94657682,-93.01158951218113
88052739.52534425,-88.5992127042436
88062506.10411173,-85.0543506284042
88072272.68287918,-86.24898723446714
88082039.26164664,-92.55872348143845
88091805.84041409,-93.92897108020196
88101572.41918156,-94.06215005936248
88111338.99794902,-94.74679242450915
88121105.57671647,-95.58604540965467
88130872.15548392,-94.57746144581756
88140638.7342514,-93.04976794048324
88150405.31301884,-93.1251105582038
88160171.8917863,-93.26699496369095
88169938.47055376,-93.8824296656128
88179705.04932122,-93.65812611854548
88189471.62808867,-92.6634990626421
88199238.20685613,-94.04348210715548
88209004.78562358,-94.59215792745397
88218771.36439106,-94.54052038141162
88228537.94315849,-93.75086242183247
88238304.52192597,-92.19300648334426
88248071.10069342,-93.54612771392976
88257837.67946088,-93.16996646488674
88267604.25822833,-94.52227076031782
88277370.83699581,-92.27149317681729
88287137.41576326,-93.37187805950931
88296903.99453071,-92.73161970369648
88306670.57329817,-93.73484948275278
88316437.15206563,-92.93837473365159
88326203.73083308,-94.02577774207091
88335970.30960055,-93.87299228095024
88345736.888368,-92.81151193728276
88355503.46713546,-93.67270538417227
88365270.04590292,-95.81986508341897
88375036.62467037,-92.92980076685012
88384803.20343783,-92.86345437395651
88394569.7822053,-92.96405312412506
88404336.36097273,-94.67110823591511
88414102.93974021,-94.01591379799257
88423869.51850767,-93.7413174831805
88433636.09727512,-92.91054759869857
88443402.67604259,-92.31745387181135
88453169.25481005,-94.67099517166419
88462935.8335775,-94.75494135800544
88472702.41234496,-92.29773423793029
88482468.9911124,-91.08748506356523
88492235.56987987,-92.58548731162432
88502002.14864732,-94.17701409060486
88511768.72741479,-94.37844375819162
88521535.30618224,-93.21011189432488
88531301.8849497,-93.29734125074583
88541068.46371715,-93.3050781712308
88550835.04248461,-94.44608226447103
88560601.62125207,-94.43319510039356
88570368.20001952,-93.23736444839675
88580134.77878697,-94.49526755657936
88589901.35755445,-94.14595532842456
88599667.9363219,-94.87626509968807
88609434.51508936,-94.02786102140512
88619201.0938568,-93.53746494314905
88628967.67262428,-92.00511380924682
88638734.25139174,-93.74328450003054
88648500.83015919,-94.672460687911
88658267.40892665,-94.33933741451673
88668033.98769411,-92.86482266518952
88677800.56646155,-91.06488939747997
88687567.14522903,-93.5340442746782
88697333.72399648,-94.01154125927513
88707100.30276394,-95.14675616191278
88716866.8815314,-93.6663817215285
88726633.46029885,-94.54725597083649
88736400.0390663,-95.69794516969246
88746166.61783378,-94.84312401746661
88755933.19660121,-93.62905069052972
88765699.77536869,-93.86363395696456
88775466.35413615,-94.53926499548953
88785232.9329036,-94.92215311987628
88794999.51167105,-94.59132854081182
88804766.09043851,-94.38569688738148
88814532.66920598,-93.05859609595868
88824299.24797343,-94.38824204958274
88834065.82674089,-94.49539330614348
88843832.40550835,-95.03165256380828
88853598.98427579,-93.41723797542537
88863365.56304327,-93.37519116977228
88873132.14181072,-96.14838383032787
88882898.72057818,-96.02493983511181
88892665.29934564,-94.51882748075305
88902431.87811309,-93.77200871403475
88912198.45688055,-92.32896223974997
88921965.03564802,-92.46620044655242
88931731.61441545,-93.80513305315603
88941498.19318293,-94.3562217448273
88951264.7719504,-93.59706576116999
88961031.35071784,-93.17308965074021
88970797.92948529,-93.62924400593513
88980564.50825277,-95.28802272333279
88990331.08702022,-95.29626953599578
89000097.66578767,-92.86844700027774
89009864.24455513,-92.11518405907866
89019630.82332258,-93.8309739058662
89029397.40209003,-94.63133850969136
89039163.9808575,-93.78509264514562
89048930.55962496,-93.46504414419138
89058697.13839242,-92.18654181248928
89068463.71715988,-93.85898229995504
89078230.29592733,-94.75861560099838
89087996.87469478,-93.71085944590307
89097763.45346226,-91.41159660564409
89107530.0322297,-91.94603607196164
89117296.61099717,-92.64641515933228
89127063.18976463,-94.04994292156545
89136829.76853208,-92.80729134154258
89146596.34729953,-93.06651144554726
89156362.926067,-93.70235500412234
89166129.50483446,-94.57091961120409
89175896.0836019,-94.16264924749159
89185662.66236936,-95.00169849314668
89195429.24113683,-92.37758725015878
89205195.81990428,-93.44555621209093
89214962.39867175,-94.08667264672818
89224728.9774392,-94.72233586473038
89234495.55620666,-93.95612301293745
89244262.1349741,-92.06850964135367
89254028.71374157,-92.34105009556427
89263795.29250903,-94.28251820609673
89273561.87127648,-92.47439870238222
89283328.45004393,-93.56355079821861
89293095.02881141,-92.66208824524229
89302861.60757886,-93.32285563566049
89312628.18634632,-94.26313821661867
89322394.76511376,-95.0453232075024
89332161.34388123,-94.07130018553836
89341927.9226487,-93.69669161765002
89351694.50141615,-92.92859001049845
89361461.08018361,-92.66093767098585
89371227.65895107,-94.10291490717901
89380994.23771851,-93.64570780959576
89390760.81648599,-94.59456330169786
89400527.39525345,-93.53264336970811
89410293.9740209,-94.08897715536634
89420060.55278836,-94.1253239976846
89429827.13155583,-94.76625883044866
89439593.71032326,-95.60895152269583
89449360.28909072,-93.89965899080075
89459126.86785819,-94.95635926648019
89468893.44662565,-94.81891377535212
89478660.0253931,-94.29620452028661
89488426.60416056,-93.96387500214612
89498193.18292801,-94.50264862308319
89507959.76169547,-96.17447429799878
89517726.34046294,-95.67701535153844
89527492.91923039,-93.72580829160243
89537259.49799784,-93.80483213331678
89547026.07676531,-94.65016762161072
89556792.65553276,-95.24945168492809
89566559.23430023,-93.92885080652805
89576325.81306767,-90.7338320241803
89586092.39183514,-91.26990926943238
89595858.97060259,-93.33765462613825
89605625.54937004,-92.94615801799934
89615392.1281375,-87.21951864480033
89625158.70690496,-80.61018580703293
89634925.28567241,-78.73906347108127
89644691.86443989,-81.29833120260645
89654458.44320734,-88.34375988674367
89664225.02197479,-92.66746575925326
89673991.60074225,-93.60873201683833
89683758.17950971,-94.20051791677793
89693524.75827716,-94.76183004223299
89703291.33704463,-94.96048113873293
89713057.91581209,-94.39646567849827
89722824.49457954,-92.44748815914255
89732591.073347,-93.07957828137847
89742357.65211447,-94.98316066110101
89752124.23088191,-94.7721996605568
89761890.80964938,-93.5292764476243
89771657.38841684,-91.99821862248211
89781423.96718429,-92.73902551423411
89791190.54595175,-94.39800057476435
89800957.12471922,-94.07106919439062
89810723.70348665,-92.3573182356182
89820490.28225413,-92.19716669709258
89830256.86102156,-93.11061526376932
89840023.43978904,-94.83731661440908
89849790.0185565,-95.14515068878262
89859556.59732397,-94.08211908895294
89869323.1760914,-92.80141601394627
89879089.75485888,-95.06751633496192
89888856.33362631,-95.89599741728497
89898622.9123938,-95.40515038605896
89908389.49116124,-94.59492820517036
89918156.06992872,-93.69924903597095
89927922.64869614,-94.78779109070773
89937689.22746362,-94.75636095969067
89947455.80623107,-94.76722172058942
89957222.38499853,-92.94786222181257
89966988.963766,-93.89552249906413
89976755.54253344,-93.84672487185036
89986522.12130089,-92.2322164843188
89996288.70006838,-90.03401378437879
90006055.2788358,-89.69844048469548
90015821.85760328,-91.949036444761
90025588.43637072,-94.78790098961773
90035355.0151382,-95.03513427815372
90045121.59390566,-94.25675892772362
90054888.1726731,-93.04360537890547
90064654.75144057,-93.51614340264858
90074421.33020802,-95.01787386883954
90084187.90897548,-94.10619088564431
90093954.48774295,-93.6420446002513
90103721.0665104,-89.34971882757264
90113487.64527784,-89.02864781966834
90123254.2240453,-89.9519707164506
90133020.80281277,-94.16610570649112
90142787.38158022,-93.92904604192825
90152553.96034768,-95.1200313928954
90162320.53911515,-94.97567646742777
90172087.11788262,-96.04542759123018
90181853.69665006,-95.28830457562128
90191620.27541752,-94.54540501055688
90201386.85418497,-93.51759512447208
90211153.43295243,-94.88661057126893
90220920.0117199,-94.09450933775453
90230686.59048733,-95.69207976846145
90240453.16925481,-93.68815222993972
90250219.74802227,-92.64462541473628
90259986.32678972,-93.77772831533738
