# Origen Binario: fm_full_dataset.bin
# Frecuencia Central: 80000000 Hz
# Ancho de Banda: 20000000 Hz
# Ganancias: LNA=24 | VGA=10

Frequency_Hz,Power_dBm
71259765.62,-64.5710
71264648.44,-64.5592
71269531.25,-64.6222
71274414.06,-64.5569
71279296.88,-64.5194
71284179.69,-64.5364
71289062.50,-64.6320
71293945.31,-64.5991
71298828.12,-64.6271
71303710.94,-64.5513
71308593.75,-64.4855
71313476.56,-64.5596
71318359.38,-64.5125
71323242.19,-64.5262
71328125.00,-64.4276
71333007.81,-64.4307
71337890.62,-64.5146
71342773.44,-64.5472
71347656.25,-64.5631
71352539.06,-64.5418
71357421.88,-64.5489
71362304.69,-64.5682
71367187.50,-64.5636
71372070.31,-64.4792
71376953.12,-64.5498
71381835.94,-64.6398
71386718.75,-64.6260
71391601.56,-64.5772
71396484.38,-64.5321
71401367.19,-64.4749
71406250.00,-64.4695
71411132.81,-64.4818
71416015.62,-64.5275
71420898.44,-64.5014
71425781.25,-64.4822
71430664.06,-64.5276
71435546.88,-64.5373
71440429.69,-64.5460
71445312.50,-64.5245
71450195.31,-64.5196
71455078.12,-64.5364
71459960.94,-64.4636
71464843.75,-64.4541
71469726.56,-64.3819
71474609.38,-64.3787
71479492.19,-64.4011
71484375.00,-64.4738
71489257.81,-64.5067
71494140.62,-64.4350
71499023.44,-64.4791
71503906.25,-64.5463
71508789.06,-64.3734
71513671.88,-64.4032
71518554.69,-64.3904
71523437.50,-64.4106
71528320.31,-64.3962
71533203.12,-64.4310
71538085.94,-64.4571
71542968.75,-64.4697
71547851.56,-64.4479
71552734.38,-64.3660
71557617.19,-64.3338
71562500.00,-64.3488
71567382.81,-64.2720
71572265.62,-64.3584
71577148.44,-64.3946
71582031.25,-64.4625
71586914.06,-64.3856
71591796.88,-63.8844
71596679.69,-63.8406
71601562.50,-63.6885
71606445.31,-63.1113
71611328.12,-62.1249
71616210.94,-61.6741
71621093.75,-61.6483
71625976.56,-61.1036
71630859.38,-60.5529
71635742.19,-60.5259
71640625.00,-60.8698
71645507.81,-61.4667
71650390.62,-61.9271
71655273.44,-61.7380
71660156.25,-61.3412
71665039.06,-61.5553
71669921.88,-61.9527
71674804.69,-61.4683
71679687.50,-60.1394
71684570.31,-58.8110
71689453.12,-58.0198
71694335.94,-57.5026
71699218.75,-57.0711
71704101.56,-56.5459
71708984.38,-56.2614
71713867.19,-56.6039
71718750.00,-57.6607
71723632.81,-59.2008
71728515.62,-60.5376
71733398.44,-60.8315
71738281.25,-60.6610
71743164.06,-60.4352
71748046.88,-60.6621
71752929.69,-61.2988
71757812.50,-61.7544
71762695.31,-61.9090
71767578.12,-62.0295
71772460.94,-62.0898
71777343.75,-62.4139
71782226.56,-62.8932
71787109.38,-63.4534
71791992.19,-63.9907
71796875.00,-64.1914
71801757.81,-64.2477
71806640.62,-63.9288
71811523.44,-64.1089
71816406.25,-64.3446
71821289.06,-64.2686
71826171.88,-64.2694
71831054.69,-64.3617
71835937.50,-64.3808
71840820.31,-64.3286
71845703.12,-64.3687
71850585.94,-64.2947
71855468.75,-64.0987
71860351.56,-64.3988
71865234.38,-64.4347
71870117.19,-64.3553
71875000.00,-64.2832
71879882.81,-64.2779
71884765.62,-64.3417
71889648.44,-64.3870
71894531.25,-64.3548
71899414.06,-64.2045
71904296.88,-64.1869
71909179.69,-64.3379
71914062.50,-64.3596
71918945.31,-64.3157
71923828.12,-64.2099
71928710.94,-64.2821
71933593.75,-64.3187
71938476.56,-64.1715
71943359.38,-64.1684
71948242.19,-64.2186
71953125.00,-64.1797
71958007.81,-64.2760
71962890.62,-64.2952
71967773.44,-64.3623
71972656.25,-64.2878
71977539.06,-64.1894
71982421.88,-64.2167
71987304.69,-64.2954
71992187.50,-64.0361
71997070.31,-63.5016
72001953.12,-63.2275
72006835.94,-63.9560
72011718.75,-64.2132
72016601.56,-64.3102
72021484.38,-64.2248
72026367.19,-63.4944
72031250.00,-63.2239
72036132.81,-64.1245
72041015.62,-64.1124
72045898.44,-64.2227
72050781.25,-64.2579
72055664.06,-64.2770
72060546.88,-64.2586
72065429.69,-64.3072
72070312.50,-64.2519
72075195.31,-64.2258
72080078.12,-64.1651
72084960.94,-64.2251
72089843.75,-64.2899
72094726.56,-64.1773
72099609.38,-64.1922
72104492.19,-64.1681
72109375.00,-64.2041
72114257.81,-64.1742
72119140.62,-64.2494
72124023.44,-64.2779
72128906.25,-64.2986
72133789.06,-64.3074
72138671.88,-64.2210
72143554.69,-64.0738
72148437.50,-64.1689
72153320.31,-64.2254
72158203.12,-64.2324
72163085.94,-64.2014
72167968.75,-64.3367
72172851.56,-64.3780
72177734.38,-64.1988
72182617.19,-64.0791
72187500.00,-64.1158
72192382.81,-64.1217
72197265.62,-64.1906
72202148.44,-63.8504
72207031.25,-64.0347
72211914.06,-64.2114
72216796.88,-64.2892
72221679.69,-64.3100
72226562.50,-64.2504
72231445.31,-64.1725
72236328.12,-64.0294
72241210.94,-64.1262
72246093.75,-63.9811
72250976.56,-63.8505
72255859.38,-63.9050
72260742.19,-64.0023
72265625.00,-64.0614
72270507.81,-63.9036
72275390.62,-63.7502
72280273.44,-63.7145
72285156.25,-63.5276
72290039.06,-63.5658
72294921.88,-63.6739
72299804.69,-63.6796
72304687.50,-63.7430
72309570.31,-63.7738
72314453.12,-63.7166
72319335.94,-63.8016
72324218.75,-63.8686
72329101.56,-63.8231
72333984.38,-63.7062
72338867.19,-63.9183
72343750.00,-63.9165
72348632.81,-63.9483
72353515.62,-64.0684
72358398.44,-64.1416
72363281.25,-64.1502
72368164.06,-64.2085
72373046.88,-64.1647
72377929.69,-63.9600
72382812.50,-63.9855
72387695.31,-64.1328
72392578.12,-64.1106
72397460.94,-64.2310
72402343.75,-64.1920
72407226.56,-64.1343
72412109.38,-64.1942
72416992.19,-64.1943
72421875.00,-64.1810
72426757.81,-64.0385
72431640.62,-64.0392
72436523.44,-64.2445
72441406.25,-64.2887
72446289.06,-64.2291
72451171.88,-64.1668
72456054.69,-64.2328
72460937.50,-64.2122
72465820.31,-64.1515
72470703.12,-64.1740
72475585.94,-64.0304
72480468.75,-64.1206
72485351.56,-64.2143
72490234.38,-64.0784
72495117.19,-64.0875
72500000.00,-64.1466
72504882.81,-64.1568
72509765.62,-64.2650
72514648.44,-64.2543
72519531.25,-64.1504
72524414.06,-64.1189
72529296.88,-64.0697
72534179.69,-64.1890
72539062.50,-64.2489
72543945.31,-64.2246
72548828.12,-64.0452
72553710.94,-64.0270
72558593.75,-64.1324
72563476.56,-64.1578
72568359.38,-64.1246
72573242.19,-64.0342
72578125.00,-64.1403
72583007.81,-64.1470
72587890.62,-64.1070
72592773.44,-64.0643
72597656.25,-64.1458
72602539.06,-64.1846
72607421.88,-64.1762
72612304.69,-64.0903
72617187.50,-64.1170
72622070.31,-64.1839
72626953.12,-64.2360
72631835.94,-64.2224
72636718.75,-64.1437
72641601.56,-64.1419
72646484.38,-64.0902
72651367.19,-63.9743
72656250.00,-63.9082
72661132.81,-64.0170
72666015.62,-63.9961
72670898.44,-63.9895
72675781.25,-63.9906
72680664.06,-64.0341
72685546.88,-64.0027
72690429.69,-63.9567
72695312.50,-63.9761
72700195.31,-63.9567
72705078.12,-64.0294
72709960.94,-64.0658
72714843.75,-63.9666
72719726.56,-63.9969
72724609.38,-63.9394
72729492.19,-63.8496
72734375.00,-64.0371
72739257.81,-63.7481
72744140.62,-63.8765
72749023.44,-63.8602
72753906.25,-63.7267
72758789.06,-63.9425
72763671.88,-63.7833
72768554.69,-64.0216
72773437.50,-64.1740
72778320.31,-64.1561
72783203.12,-64.2427
72788085.94,-64.2283
72792968.75,-64.2410
72797851.56,-64.3087
72802734.38,-64.2011
72807617.19,-64.1168
72812500.00,-64.0452
72817382.81,-64.1720
72822265.62,-64.1821
72827148.44,-64.2243
72832031.25,-64.2285
72836914.06,-64.2706
72841796.88,-64.2510
72846679.69,-64.1966
72851562.50,-64.1346
72856445.31,-63.8792
72861328.12,-63.8623
72866210.94,-64.0784
72871093.75,-64.0964
72875976.56,-64.1462
72880859.38,-64.1299
72885742.19,-64.1843
72890625.00,-64.1757
72895507.81,-64.1892
72900390.62,-64.1392
72905273.44,-63.8818
72910156.25,-63.9996
72915039.06,-64.1746
72919921.88,-64.2149
72924804.69,-64.1798
72929687.50,-64.1698
72934570.31,-64.2469
72939453.12,-64.2379
72944335.94,-64.2051
72949218.75,-64.1464
72954101.56,-63.7999
72958984.38,-63.9387
72963867.19,-64.0219
72968750.00,-64.1829
72973632.81,-64.1275
72978515.62,-64.0266
72983398.44,-64.1540
72988281.25,-64.2161
72993164.06,-64.2130
72998046.88,-63.4419
73002929.69,-63.4924
73007812.50,-64.2003
73012695.31,-64.1564
73017578.12,-64.1719
73022460.94,-64.1932
73027343.75,-64.2524
73032226.56,-64.2475
73037109.38,-64.1608
